"WMD","2014","2015","2016","2017","2018","2019"
"5",0.142069045707765,0.0831094443746091,0.0854190124978896,0.106022024932515,0.087741167185874,0.104431453337624
"6",0.077034964411945,0.155406223103957,0.0939107871950855,0.0684911515426939,0.0828163633880851,0.0598476623490516
"7",0.109161287905628,0.0906255827719084,0.148369494583208,0.0954302274617924,0.0669807262301745,0.111982299935898
"8",0.132568674389104,0.0766565631002347,0.150894405104074,0.0795057271848293,0.0829783017470684,0.116840775897782
"9",0.139477981296421,0.0818177451462797,0.11887289876142,0.11124741452878,0.0857052410545082,0.0772364375248307
"10",0.134093990465841,0.0808009963745674,0.081196481363481,0.0910090984279286,0.0941414422832617,0.0944735055590843
"11",0.121893926101712,0.0963576806368471,0.102945997045479,0.0695700701489443,0.102693469570913,0.065605543321995
"12",0.0772490994080907,0.0909107657921235,0.10422444023958,0.0921343020434738,0.0437565518160015,0.0847068263875121
"13",0.104530843847647,0.09620769984101,0.0910395639028379,0.066575214019735,0.0896169751936261,0.0702327357267682
"14",0.0843378855741828,0.0867078705710772,0.0935757277235495,0.109325938087393,0.0758600788845717,0.0733152301547923
"15",0.081214156530924,0.0829332625378811,0.103861813430019,0.0587956724954907,0.0678582618970181,0.069640397417697
"16",0.0881260391681763,0.0672442172667085,0.0912739728225623,0.0862636516926619,0.0704460289711675,0.063771719999229
"17",0.102233384924245,0.0880781605819705,0.12439370440865,0.0954588725994554,0.0896531509384909,0.0659477957642954
"18",0.107924740843251,0.0854812941804993,0.128133709741754,0.0724410823830476,0.0967820422651733,0.0694031051582906
"19",0.120620526883336,0.0759916162400873,0.0689584027756428,0.110016860696946,0.0809024760965497,0.0923126552254173
"20",0.0939646277143522,0.0850020223920307,0.0873685469187225,0.0841029051762873,0.0619381939133107,0.0825623804414717
"21",0.0837919243520725,0.0802333194208418,0.0845812176831496,0.0739457554864288,0.0691354374775769,0.0669794863041589
"22",0.0871121675785316,0.0515157708299895,0.100326696098385,0.0780604371694075,0.0816186268140288,0.06090001842464
"23",0.0836930973729017,0.0537306207029139,0.100062775442151,0.0716857510926172,0.0821704371104999,0.0596348310546594
"24",0.0812945401009232,0.120492275820546,0.132967482174911,0.0633477663328576,0.0645673905363948,0.0845099035016561
"25",0.0684879816501251,0.0517374480742209,0.0833779788849106,0.067746717658902,0.0541564422140724,0.0431558684360269
"26",0.0896441500070727,0.0861579777807971,0.115645875789453,0.0873293069920881,0.0736786658181113,0.0531084153913272
"27",0.100251807450361,0.110943298091916,0.0969969519046965,0.0589469612880287,0.095740595797321,0.0789332072054649
"28",0.101665865413661,0.0699943401062428,0.131712147602407,0.0887859224755421,0.0617163450403855,0.095808220115258
