"WMD","2014","2015","2016","2017","2018"
"5",0.26981145207497,0.273656678741451,0.282597579727824,0.277870719119231,0.282705183102144
"6",1.50253467948791,1.36827643228305,1.32474133609074,1.39556518392304,1.28764806116314
"7",0.913220752270642,1.00879337552696,0.941001300986229,0.901914006355429,0.976941227393683
"8",0.55567780434179,0.613339332220603,0.575857595072759,0.586268280601902,0.604387184819917
"9",0.377493133364871,0.401939289052164,0.404797177219421,0.391320388394647,0.388121638192857
"10",0.288262069575025,0.289415681921932,0.296823950249247,0.294063375168298,0.296998049725076
"11",1.24525552459931,1.31572385122755,1.21679730363468,1.35287205451352,1.21808696199303
"12",0.7949543893114,0.847640997851648,0.81029500659685,0.752385033397929,0.799254006724601
"13",0.843540403855048,0.846187130157312,0.824789964741752,0.890293008338284,0.832061803635164
"14",0.97535220617216,0.976953761716133,1.01752857350828,0.981854134308586,0.962312090305036
"15",1.01197912169446,1.07107011038319,0.956596308996245,0.969778532046158,0.959943942923103
"16",0.992090515311381,1.05162794924742,1.03574902301593,1.01479427248918,0.993622414465611
"17",1.11170097749577,1.22317658431222,1.16789132409303,1.1726801031008,1.09986067871238
"18",1.10023238059505,1.20928946452845,1.14222889941923,1.17587933218966,1.09500876334907
"19",0.638592242338246,0.634309911357982,0.712490710245035,0.66140737783242,0.666769637976269
"20",1.1924106961325,1.27772503592771,1.24382774191582,1.13214431069375,1.21205425176698
"21",1.12131503612084,1.12005300579602,1.10997317208633,1.12387585942214,1.07324625532168
"22",0.868468303398181,0.964396511634067,0.922740703296838,0.917323907600277,0.871906495724058
"23",1.03889771936746,1.16147020798373,1.12894001051217,1.1777047673996,1.06015228302491
"24",0.624115800770435,0.625524554188666,0.552509655581905,0.562829671653936,0.596257112727936
"25",0.708260960472954,0.787507526429807,0.749717944785674,0.759084081443168,0.671042731470155
"26",1.14168400254597,1.21437490109378,1.15899598044348,1.12437458697462,1.05021634688762
"27",0.878850962303519,0.876913469209625,0.817860123794044,0.894701962703539,0.84996057460147
"28",1.01894550514119,1.15264842772015,1.10169295697505,1.05805087166392,1.1143363911708
