Average Estimated HR
"Age","Year","Mean"
"A",1,0.0902377613238039
"A",2,0.292838367846987
"A",3,0.408936918672618
"A",4,0.866466347901364
"J",1,0.00826505913458648
"J",2,0.0322804797518103
"J",3,0.0475232851577009
"J",4,0.211236274482629


Average Estimated WSR
"Age","Mean"
"A",0.976092942286487
"J",0.97845404611235


Estimated N.A
"WMD","1","2","3","4","5","6","7","8"
"1",107.7568,77.7558222222222,68.1953333333333,79.8395555555555,50.8295555555556,60.6761333333333,62.9400444444444,48.1829333333333
"2",35.5596,11.8813333333333,26.4916,22.3264444444444,15.9909333333333,21.9087555555556,44.1647555555556,21.2128
"3",13.6643111111111,13.6337777777778,7.54373333333333,11.1858222222222,12.5433333333333,7.89991111111111,2.19506666666667,15.1132
"4",12.4096888888889,21.2858222222222,13.6406666666667,9.8384,13.7324888888889,6.14875555555556,8.92102222222222,18.1272444444444
"5",72.5804888888889,79.3654222222222,68.6740444444444,75.9188,74.4581333333333,117.182044444444,64.1811555555555,87.2042222222222
"6",307.5,377.187377777778,334.895022222222,466.241555555556,277.212577777778,360.154044444444,300.234933333333,381.504533333333
"7",284.020577777778,198.942266666667,198.619422222222,143.644888888889,177.498933333333,210.270577777778,136.603066666667,122.214177777778
"8",72.4697777777778,74.4450222222222,96.2850222222222,86.5205333333333,100.207822222222,111.942088888889,91.0848888888889,68.7661333333333
"9",858.605066666667,1084.86626666667,1160.40955555556,1345.98591111111,1335.06982222222,1252.41084444444,1189.15684444444,1278.17786666667
"10",1003.47413333333,671.815688888889,658.460177777778,810.484533333333,897.107155555556,1035.06346666667,749.703733333333,845.292488888889
"11",1050.85826666667,667.017022222222,836.9296,831.518711111111,1045.05191111111,957.757155555556,734.432266666667,711.447022222222
"12",160.705333333333,108.990311111111,104.550711111111,114.4712,156.549244444444,163.930577777778,104.462977777778,125.485777777778
"13",56.5357777777778,59.4568888888889,27.2935555555556,26.4353333333333,52.7348888888889,29.9244888888889,31.6459555555556,33.48
"14",684.771866666667,848.806755555556,660.257288888889,1286.87155555556,1020.03946666667,1082.65724444444,1073.18968888889,1119.48142222222
"15",766.773866666667,898.994533333333,966.694133333333,929.294844444444,1161.77115555556,1272.18875555556,1065.38853333333,1190.49773333333
"16",1168.55502222222,886.065866666667,851.101111111111,1098.1604,1099.39502222222,1257.86631111111,849.5852,796.572711111111
"17",1272.5812,1075.19431111111,870.422133333333,1067.56226666667,1514.524,1706.40404444444,1233.60631111111,1166.49866666667
"18",661.991422222222,775.395288888889,670.677733333333,496.091244444444,339.511866666667,298.675733333333,244.678977777778,357.9968
"19",2009.584,1695.7052,1533.34351111111,1926.90777777778,2293.63506666667,2672.03444444444,1413.45355555556,1785.9248
"20",560.555244444444,477.208355555556,584.086844444444,658.173555555556,848.362488888889,894.273644444444,544.362888888889,540.367111111111
"21",86.9388,61.9095111111111,53.7883111111111,95.4932888888889,82.2106666666667,104.453911111111,115.8752,114.997644444444


Estimated N.J
"WMD","1","2","3","4","5","6","7","8"
"1",193.452977777778,171.614666666667,236.0356,124.137155555556,139.126533333333,161.734888888889,115.879155555556,121.858
"2",15.9732,61.9252,62.9383111111111,28.4699111111111,47.6834666666667,108.375422222222,31.9950666666667,196.0036
"3",49.1579111111111,13.7389333333333,34.7480888888889,34.2987111111111,15.1192888888889,1.28457777777778,44.7163111111111,22.5547555555556
"4",70.2466222222222,23.9572,18.8258222222222,32.9516888888889,13.4139111111111,23.0519555555556,49.8750666666667,97.5013777777778
"5",269.660844444444,180.183688888889,210.156622222222,175.411777777778,314.685688888889,137.8176,236.523822222222,256.817777777778
"6",877.395155555556,760.965777777778,1158.35893333333,565.198888888889,811.937422222222,647.605377777778,922.048533333333,661.144
"7",451.556577777778,510.521688888889,348.002,426.541288888889,511.493866666667,294.528,291.754933333333,416.902355555556
"8",132.8212,238.631022222222,210.2504,257.834088888889,257.805688888889,196.456133333333,145.119555555556,461.104844444444
"9",2609.55373333333,2714.10786666667,3309.57946666667,2924.9264,2782.50493333333,2681.19471111111,2979.67057777778,3006.74817777778
"10",1437.06515555556,1571.188,2011.12871111111,2157.07626666667,2418.524,1591.37288888889,2040.78111111111,2232.83666666667
"11",1413.64853333333,2204.09048888889,2206.04422222222,2657.0356,2280.53728888889,1704.07688888889,1756.41911111111,2627.26928888889
"12",274.730355555556,275.437644444444,334.756711111111,378.736088888889,403.570666666667,232.264355555556,328.912577777778,337.579955555556
"13",176.6152,51.5587111111111,59.1766666666667,141.012977777778,57.9928444444444,78.3244,82.7837333333333,87.6021777777778
"14",2420.86075555556,1580.35057777778,3330.64155555556,2315.17222222222,2560.16653333333,2613.95671111111,2758.27471111111,2740.60248888889
"15",2255.78631111111,2329.25328888889,2240.33595555556,2811.61044444444,2963.946,2381.60315555556,2874.55768888889,3094.91697777778
"16",2065.43862222222,1891.39764444444,2724.06662222222,2535.6336,2947.72342222222,1737.54768888889,1828.96955555556,2318.5324
"17",2403.28413333333,1881.01613333333,2715.75022222222,3646.90337777778,3968.07973333333,2543.59004444444,2642.26506666667,3663.53204444444
"18",1863.5184,1557.77946666667,1247.11306666667,697.822088888889,649.113555555556,555.050444444444,923.723955555556,566.724444444444
"19",3359.46635555556,3117.37111111111,4373.2564,5010.02626666667,5724.79551111111,2052.33768888889,4008.27235555556,4662.45782222222
"20",1141.99764444444,1484.45333333333,1693.70244444444,2079.03004444444,2057.9048,1086.20853333333,1281.19991111111,1315.63195555556
"21",131.621066666667,126.644933333333,272.382977777778,192.547022222222,239.784888888889,281.932088888889,272.2156,175.859111111111


Estimated R
"WMD","1","2","3","4","5","6","7"
"1",1.62141625205024,3.1190633124249,1.86586429696336,1.79842881454379,3.28889072895233,1.96090506958195,2.06850417630048
"2",1.89638818641213,7.52265057721838,1.16685593568366,2.85437780376419,6.75024928188129,1.9725435566276,6.34485367666578
"3",1.06933363648787,2.83724325378259,4.99516943912518,1.5126151417357,0.118223631077313,6.25118859708065,14.3723304180111
"4",2.13398680405513,0.989415429283583,2.59981268711922,1.49923973880357,1.77934313383205,10.0513996225788,18.1831648708318
"5",2.53292169416434,2.76465276452241,2.63431658173798,4.255800181097,1.87189133634647,2.0630403669153,4.28966680009136
"6",2.49706508752206,3.10122516406531,1.70774391927159,1.76033556818189,2.37043304332372,2.58762484909505,2.26410031348319
"7",1.81167989378278,1.76891220979688,2.1748172757396,3.62211768924132,1.67122421910185,1.40599087634768,3.1621333449262
"8",3.36064707684806,2.86413346341828,2.74597076557879,3.08604777490097,1.98946526332243,1.35879450824242,5.4847431238949
"9",3.20506603692786,3.088607385392,2.55823648999366,2.1018364901521,2.03155885851108,2.41401657370841,2.57636032243368
"10",1.58312609030439,3.03481249203539,3.31744555553014,3.01982082771399,1.79421601831559,1.99186749461039,3.02868513209535
"11",2.12930688641046,3.36058625609952,3.22449144927151,2.79720637397796,1.65447024508736,1.86254193718232,3.65531580220653
"12",1.73695403579515,3.13387983540865,3.68976802020424,3.61214153547419,1.49520598848183,2.03947581161745,3.39371841751841
"13",0.932318323503306,1.02441547860308,5.40685109531875,2.28397461890311,1.50840389242164,2.8829859655963,3.22281969204863
"14",2.32966688255279,3.97667112456829,3.55698504534637,2.00587047284442,2.58734671402098,2.57244860527136,2.5882647520458
"15",3.06391212337825,2.5171531682633,2.93612087163931,3.22573135137576,2.0673197067199,2.27909678959849,2.94348577405954
"16",1.63572551918418,3.12098448198512,3.01036033401723,2.7145659638084,1.59582618525905,1.47079741473995,2.77888221387625
"17",1.49169308761306,2.54894395035453,4.22822777977647,3.75908969605626,1.6905405350922,1.56288252007254,3.0108735607753
"18",2.37752795889759,1.62168164014106,1.0521864367731,1.33263523856719,1.65404269857011,3.12524479112498,2.37951389927885
"19",1.57782210321855,2.620972180835,3.32312517388653,3.02628249487085,0.90927469413633,1.52110541214894,3.38991384221805
"20",2.66741135800583,3.58373143651908,3.58869009955883,3.15942312336035,1.28977899863457,1.44337399148302,2.45968157494383
"21",1.48382821933033,4.48917300772883,3.69353407596938,2.57639663171766,3.51322088401261,2.6548620369511,1.59670023911891


