Average HR Bias (Realized - Estimated)
"","Age","Year","HRMeanBias","HRSDBias"
"1","A",1,0.0520498048961544,0.015907317960844
"2","A",2,0.0472468782538173,0.0158412780756775
"3","A",3,0.0459424860517509,0.0146079496772954
"4","A",4,0.0958128134928374,0.0151529192501673
"5","A",5,0.0989274225963563,0.0255502207350868
"6","A",6,0.102350002099357,0.0208812124359609
"7","J",1,0.0205067208083444,0.022477566405617
"8","J",2,0.0207593242188268,0.0324525601587645
"9","J",3,0.00556844888979268,0.0299519719934019
"10","J",4,0.0430503790537664,0.0155248769056258
"11","J",5,0.0470600935513415,0.0280686451085317
"12","J",6,0.0369840402322156,0.0310408772911741


Individual Simulation Results - HR
"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.0657081751452846,0.0421869151323973,0.0263529541846433,0.0928234493330297,0.0768126548630314,0.105548699756211,-0.00426875131227104,0.0123590478718357,0.0218987021129953,0.0539586325870127,0.0803083169961868,0.00772914763734958
"2",0.0501445959923279,0.0339872651619617,0.0388425476444267,0.0881279076822588,0.0679244524576813,0.100130284223554,0.0471580339190237,0.0443270879318705,0.0201759039282263,0.0314057085466634,0.0481266965493992,-0.00365719649867986
"3",0.0633802334188406,0.0431477614656218,0.0596443630568213,0.107619167278742,0.112124338258749,0.144369686120098,0.0259952851206695,0.0620719207107791,0.0136312114430873,0.0442617386019418,0.0400047789112633,0.0447608259837678
"4",0.0719058713155865,0.0150509182425979,0.058235311278017,0.0693658386642328,0.076943054816179,0.0740317091939043,-0.00293910371388753,0.0416393459705706,-0.0574529457233317,0.0733376221036032,0.0598233562472271,0.0519017756956802
"5",0.0695453669158344,0.0520641947122253,0.0506062891958452,0.0872897764141092,0.127173840459747,0.0960255175122297,0.0355435687546905,0.0218324161866655,0.0037274057334086,0.0560218673230793,0.0780795145807772,0.0162315133769753
"6",0.068283579429268,0.0322387545633505,0.0572445443170995,0.105651968910951,0.0810258962773615,0.102139871433455,-0.0218919577120385,0.020118302537564,-0.0372979162307503,0.0470711296159257,0.0727263800977223,0.0752914261147389
"7",0.0449964910286421,0.0511235646542985,0.0599792079209123,0.113352431591217,0.119183341272914,0.085001631824536,0.0190804951541284,0.0134866192043309,0.0133228518252176,0.0160451370826237,0.0259368050689635,0.0469356538939788
"8",0.0666308669840304,0.0542882233708967,0.0609865223374461,0.109375305948291,0.112102299128796,0.135061263615803,0.0119178763997563,0.0491887578979969,-0.0141816252728936,0.0533458192826886,0.0564927742841651,0.00261530452736256
"9",0.0403648589948794,0.0624872001600234,0.0374989964147727,0.0783263614969571,0.0698524784515036,0.0863634782082842,0.0453733409278364,-0.020724308102083,0.0288828189236626,0.0506914614811233,0.0811630953815415,0.00931658383777791
"10",0.0440927272671062,0.0255159280674747,0.0503597294664564,0.0944557594239371,0.157508478199781,0.10150770847704,0.0181236123970653,0.0840933275529295,-0.000840189071151243,0.0197407528682494,0.00253593619514898,0.0732288611137468
"11",0.0488183252993579,0.0447737932924262,0.019076569588855,0.102253799008023,0.0815242867740245,0.116364763034298,0.0195426434527514,0.016046286593701,0.0190880625536507,0.0268590624801272,0.0498333643116775,0.00215878738552464
"12",0.0397800256821212,0.0669332991211085,0.0212000315156733,0.0926031018675617,0.0848368230648344,0.0677435430700551,0.0116595292889917,-0.0353774578448078,0.0407363176951895,0.0434003359383163,0.0435297375827877,0.0796305379698563
"13",0.0276211867397068,0.0607757371551348,0.0420963751855742,0.122544812072052,0.121911435777176,0.116584384066854,0.0453152115456433,0.0119299713694359,0.0600840255746273,0.0335572743612315,-0.0185176086876967,0.0261683114522713
"14",0.0205410655671617,0.0726722936304473,0.0601262736763537,0.100960464033529,0.100542704867663,0.113537923259159,0.0569870578956483,-0.0250829254169855,-0.0138999567967893,0.0574507583202588,0.0481424431175835,0.0375847322152847
"15",0.0589337036621692,0.0514573250772952,0.046887574993367,0.0724420586676703,0.0944452542759036,0.0908395676948659,3.97000715789131e-06,0.0154814708185991,-0.0143479333482588,0.0386083852136505,0.0377158126333757,0.0848643387775994
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA


Average WSR Bias (Realized - Estimated)
"","Age","WSRMeanBias","WSRSDBias"
"1","A",0.0198215012929303,0.00857489997962299
"2","J",0.020480034194774,0.0132366572011007


Individual Simulation Results - WSR
"","V1","V2"
"1",0.0294569731124464,0.0345258108730901
"2",0.0153144637014097,-0.000591440321423442
"3",0.00956258586395053,0.0192082981144474
"4",0.0203516241515403,0.0146372336496262
"5",0.0284867047850144,0.0168884161041746
"6",0.0314319080828832,0.0360296438368218
"7",0.00974094398552294,0.0269832526166484
"8",0.0318349709507602,0.0218061828261232
"9",0.0197883488621856,0.0199660973935546
"10",0.0104311234604449,0.00889961222798308
"11",0.0193057864444548,0.0202384243345509
"12",0.0289354874695623,0.024020310463708
"13",0.0108008259977521,0.0043895369107203
"14",0.00994519749754708,0.00904959018900375
"15",0.0219355750284801,0.0511495437025816
"16",NA,NA
"17",NA,NA
"18",NA,NA
"19",NA,NA
"20",NA,NA


