"","RegionID","HR.SPP","REG.HR.J.1","REG.HR.J.2","REG.HR.J.3","REG.HR.A.1","REG.HR.A.2","REG.HR.A.3","HR.J.1","HR.J.2","HR.J.3","HR.A.1","HR.A.2","HR.A.3","Mean.HR.J","Mean.HR.A"
"1",1,-0.0131108961789128,-2.11172318484702,-2.21172318484702,-2.01172318484702,-1.11172318484702,-1.21172318484702,-1.01172318484702,0.10796260040946,0.0987026718306293,0.11797754710954,0.247549773232145,0.229396295272009,0.266642756151469,0.108214273116543,0.247862941551874
"2",2,0.0097789051920999,-2.08883338347601,-2.18883338347601,-1.98883338347601,-1.08883338347601,-1.18883338347601,-0.98883338347601,0.110186904149059,0.100757746359853,0.12038033952545,0.251838023540975,0.233467649133608,0.271142567831863,0.110441663344787,0.252149413502148
"3",3,-0.00450791285497885,-2.10312020152309,-2.20312020152309,-2.00312020152309,-1.10312020152309,-1.20312020152309,-1.00312020152309,0.10879392381833,0.0994706437107752,0.118875709924008,0.249155719255435,0.230920615119843,0.268328394974757,0.109046759151037,0.249468243116678
"4",4,-0.0331506829869779,-2.13176297165509,-2.23176297165509,-2.03176297165509,-1.13176297165509,-1.23176297165509,-1.03176297165509,0.106047742992321,0.0969342043348875,0.11590814192364,0.243835897494125,0.225873013418954,0.26274245812449,0.106296696416949,0.244150456345857
"5",5,0.0154034667269178,-2.08320882194119,-2.18320882194119,-1.98320882194119,-1.08320882194119,-1.18320882194119,-0.983208821941192,0.110739578802357,0.101268508863964,0.120977191055022,0.252899257340227,0.234475732098968,0.272255547450029,0.110995092907114,0.253210178963075
"6",6,0.0152981740766857,-2.08331411459142,-2.18331411459142,-1.98331411459142,-1.08331411459142,-1.18331411459142,-0.983314114591424,0.110729210394139,0.101258926245464,0.12096599450136,0.25287936373573,0.234456832926934,0.272234686058034,0.110984710380321,0.253190294240233
"7",7,-0.0508055377891498,-2.14941782645726,-2.24941782645726,-2.04941782645726,-1.14941782645726,-1.24941782645726,-1.04941782645726,0.10438563756809,0.0953996938235675,0.114111219895539,0.240595435490822,0.222800932121302,0.259336909786923,0.104632183762399,0.240911092466349
"8",8,-0.0359967737001352,-2.13460906236824,-2.23460906236825,-2.03460906236825,-1.13460906236824,-1.23460906236825,-1.03460906236824,0.105778231349138,0.0966853489927888,0.115616811871826,0.243311518084682,0.225375750244094,0.262191517538437,0.106026797404584,0.243626261955738
"9",9,0.00725503954558069,-2.09135724912253,-2.19135724912253,-1.99135724912253,-1.09135724912253,-1.19135724912253,-0.991357249122529,0.109939693194315,0.1005293002521,0.12011334608517,0.251362785703257,0.233016280732018,0.270644078905912,0.110194113177195,0.251674381780396
"10",10,0.0319175498517426,-2.06669473881637,-2.16669473881637,-1.96669473881637,-1.06669473881637,-1.16669473881637,-0.966694738816367,0.112376309173627,0.102781436147376,0.122744347750122,0.256032161464143,0.237452945309128,0.275539800844205,0.112634031023708,0.256341635872492
"11",11,0.0456498386920512,-2.05296244997606,-2.15296244997606,-1.95296244997606,-1.05296244997606,-1.15296244997606,-0.952962449976059,0.113753384271007,0.104054717677543,0.124230692296283,0.258656635002425,0.239948395533725,0.278289439792293,0.114012931414944,0.258964823442814
"12",12,0.0171374806277626,-2.08147480804035,-2.18147480804035,-1.98147480804035,-1.08147480804035,-1.18147480804035,-0.981474808040347,0.110910453412564,0.101426436166721,0.121161710284411,0.253227024405546,0.234787125449403,0.272599247542577,0.111166199954565,0.253537799132509
"13",13,0.0168618859007773,-2.08175040276733,-2.18175040276733,-1.98175040276733,-1.08175040276733,-1.18175040276733,-0.981750402767332,0.110883280116627,0.101401321466299,0.121132367594376,0.253174912133189,0.234737615132498,0.272544603592836,0.111138989725767,0.253485710286174
"14",14,0.0262565118705367,-2.07235577679757,-2.17235577679757,-1.97235577679757,-1.07235577679757,-1.17235577679757,-0.972355776797573,0.111812870556241,0.1022605625361,0.12213607820442,0.254955338770775,0.236429430545399,0.274411195029679,0.11206983709892,0.255265321448618
"15",15,0.0162222298907716,-2.08239005877734,-2.18239005877734,-1.98239005877734,-1.08239005877734,-1.18239005877734,-0.982390058777338,0.110820233290416,0.101343051449396,0.121064286753732,0.253053986749478,0.234622729467782,0.272417801259592,0.111075857164514,0.253364839158951
"16",16,-0.0241235926412721,-2.12273588130938,-2.22273588130938,-2.02273588130938,-1.12273588130938,-1.22273588130938,-1.02273588130938,0.106906574153667,0.0977272977416029,0.116836391117483,0.245504158369399,0.22745534468492,0.264494826721209,0.107156754337584,0.245818109925176
"17",17,0.022982217859841,-2.07563007080827,-2.17563007080827,-1.97563007080827,-1.07563007080827,-1.17563007080827,-0.975630070808269,0.111488111026127,0.101960362633447,0.121785446272665,0.254333875612395,0.235838830650498,0.27375973314122,0.111744639977413,0.254644146468038
"18",18,-0.0255158684857263,-2.12412815715384,-2.22412815715384,-2.02412815715384,-1.12412815715384,-1.22412815715384,-1.02412815715384,0.106773715789313,0.097604600229292,0.116692804853203,0.245246355904301,0.227210787632252,0.264224065941967,0.107023706957269,0.245560403159507
"19",19,-0.00793336279919245,-2.1065456514673,-2.2065456514673,-2.0065456514673,-1.1065456514673,-1.2065456514673,-1.0065456514673,0.108462244500772,0.0991642255057769,0.118517381806971,0.248515446636515,0.230312828738481,0.267656416247658,0.108714617271173,0.248828230540885
"20",20,0.00840635842483312,-2.09020593024328,-2.19020593024328,-1.99020593024328,-1.09020593024328,-1.19020593024328,-0.990205930243277,0.110052403755199,0.10063345403409,0.120235077750532,0.251579502368889,0.233222107334351,0.270871404490789,0.110306978513274,0.251891004731343
"21",21,0.014490425678728,-2.08412186298938,-2.18412186298938,-1.98412186298938,-1.08412186298938,-1.18412186298938,-0.984121862989382,0.110649697826732,0.101185440325839,0.120880130304299,0.25272678517192,0.234311883828751,0.272074681998847,0.110905089485623,0.253037783666506
