"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"N.A[11,3]",1965.42426666667,395.169264138671,1490,1701,1839,2109,3024,1.89565992184783,9
"N.A[12,3]",277.238666666667,63.0158277664514,195,234,260,304,441,1.65718833182957,11
"N.A[13,3]",77.5363555555556,21.1117207740257,47,63,73,87,131,1.38526283557673,15
"N.A[14,3]",1596.87013333333,336.027380559653,1182,1371,1494,1724,2477.52494967188,1.81787488930032,10
"N.A[15,3]",1793.07395555556,349.390924702862,1368,1557,1686,1925.24995131345,2722.52495420096,1.88691561318172,9
"N.A[16,3]",1537.87933333333,297.576129937505,1177,1339,1445,1646,2332,1.86049325933211,10
"N.A[17,3]",1485.46568888889,291.134155376921,1126,1289,1395,1602,2252,1.84010503058864,10
"N.A[18,3]",1330.00862222222,257.901667014313,1012,1155,1251,1431,2011,1.86345638850135,10
"N.A[19,3]",1463.35946666667,280.833826727308,1115,1273.74992637916,1381,1567,2214,1.8283679647984,10
"N.A[20,3]",1137.18151111111,227.144640105634,859,984,1067,1223,1738,1.86894983541723,10
"N.A[21,3]",109.153377777778,26.3974548595647,71,91,104,122,177,1.41201928333996,14
"N.A[1,4]",224.452177777778,51.7872937943007,156,189,212,247,357,1.61597689518231,11
"N.A[2,4]",43.8925777777778,14.6031299717924,22,34,41,51,80,1.24446590263631,20
"N.A[3,4]",29.4110666666667,10.3215407519173,14,22,28,35,54,1.17166701737956,26
"N.A[4,4]",21.9081333333333,7.91923067479686,10,16,21,26,41,1.10770316468935,39
"N.A[5,4]",219.000711111111,50.5760865447748,151,184,206,242,350,1.58624400817211,12
"N.A[6,4]",734.516666666667,143.078289081624,557,636,692,791,1114,1.80444402829795,10
"N.A[7,4]",361.266666666667,80.7871294920702,254,306,340,396,569,1.6289676191143,11
"N.A[8,4]",160.556355555556,37.3706825728235,109,134,152,178,256,1.50603893255533,13
"N.A[9,4]",2302.68448888889,457.965657796901,1750,1997,2155,2483,3534.52496472265,1.87362662811134,9
"N.A[10,4]",1510.62004444444,297.98234953251,1145,1311,1419,1623,2292,1.84844983306852,10
"N.A[11,4]",2074.04568888889,427.544531552408,1550,1789,1937,2239,3207,1.88025116135169,9
"N.A[12,4]",326.705822222222,75.6504731075374,228,275,307,357,522,1.64609166019961,11
"N.A[13,4]",58.6357333333333,16.5140979312027,35,47,56,67,100,1.28751913417142,18
"N.A[14,4]",2636.43297777778,496.799287146662,2041,2300,2479,2822,3974,1.94511180955577,9
"N.A[15,4]",1805.75346666667,361.241856142467,1361,1564,1695,1939,2769.5249549782,1.86429620297096,10
"N.A[16,4]",1997.59048888889,387.053385068234,1526,1738,1876,2146,3036,1.88257015848626,9
"N.A[17,4]",1877.72391111111,382.064741832107,1412,1624,1761,2018,2892,1.85590188211375,10
"N.A[18,4]",1121.88644444444,239.923400748728,823,960,1050,1214,1758,1.80968486862066,10
"N.A[19,4]",1855.26102222222,358.63285141329,1415.47491191327,1610,1748,1992.24995295052,2801,1.84355684316786,10
"N.A[20,4]",1338.34346666667,273.410466431599,1000,1154,1255,1442,2054,1.84168317586627,10
"N.A[21,4]",192.191066666667,44.6715754288022,131,162,182,212,308,1.55050916260256,12
"N.A[1,5]",160.633644444444,38.617506935469,106,134,152,178,258,1.4812664153674,13
"N.A[2,5]",28.0982666666667,9.81703305833074,14,21,26,33,52,1.13095618818686,33
"N.A[3,5]",31.9557333333333,10.7639641052361,16,24,30,37,59,1.1933023836486,24
"N.A[4,5]",27.5301777777778,9.24529426189917,14,21,26,32,50,1.13485449047351,32
"N.A[5,5]",192.314444444444,43.0676889101504,133,162,183,212,302,1.51453743657508,12
"N.A[6,5]",515.166088888889,112.51226290402,369,438,484,564,805,1.66590697270509,11
"N.A[7,5]",381.757911111111,77.4798231698839,280,328,361,415,583,1.67209305736161,11
"N.A[8,5]",190.965466666667,44.3934003811865,130,160,181,211,306,1.52418929172599,12
"N.A[9,5]",2179.04573333333,411.589024552163,1680,1903,2052,2332,3285.52496204905,1.88128751366454,9
"N.A[10,5]",1686.30657777778,331.858678717923,1278,1463,1583,1815,2568,1.86364990219408,10
"N.A[11,5]",2416.26906666667,473.542880091934,1840.47493225377,2103,2264,2594,3695,1.90284037909504,9
"N.A[12,5]",363.018711111111,73.220424094534,267,313,344,395,554,1.63698783541634,11
"N.A[13,5]",111.725422222222,26.8032254040699,74,93,106,124,181,1.41420417465286,14
"N.A[14,5]",2275.66244444444,451.109956414094,1724,1972,2136,2442.24996161851,3485,1.86308213825691,10
"N.A[15,5]",2151.09142222222,414.377304048944,1649,1875,2022,2304,3257,1.88755905306451,9
"N.A[16,5]",2017.35626666667,390.090138670692,1541,1756,1897.49993412385,2159,3066,1.85753450795209,10
"N.A[17,5]",2489.35928888889,470.306908499206,1923,2176,2339,2661,3755,1.91477759261051,9
"N.A[18,5]",729.305733333333,153.154145451592,531,625,686,790,1125,1.73335325000041,10
"N.A[19,5]",2203.60884444444,414.938297647617,1698,1924,2074,2367,3303,1.87671089179655,9
"N.A[20,5]",1638.17608888889,316.784237584091,1251,1425,1541,1759,2490,1.86597981172986,10
"N.A[21,5]",175.095288888889,42.1130843813539,117,146,166,194,285,1.51378759551442,13
"N.A[1,6]",148.473022222222,33.7558304959348,101,125,141,164,236,1.44653801239655,14
"N.A[2,6]",33.7622666666667,11.0434723256793,17,26,32,40,61,1.13038362654804,33
"N.A[3,6]",18.8288444444444,7.24200195325957,9,14,18,23,37,1.11835763192943,36
"N.A[4,6]",17.6831555555556,7.31882134135874,7,13,16,22,35,1.09844545835759,42
"N.A[5,6]",304.5636,64.8600019900154,219,259,288,334,472,1.61029117179047,11
