Average Estimated HR
"mean","Age"


Average Estimated WSR
"Age","Mean"
"A",0.989533784744396
"J",0.980526200617114


Estimated N.A
"WMD","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"1",177.288533333333,294.87232,232.689813333333,278.18496,272.62464,278.825386666667,296.26976,282.0496,275.31168,293.917013333333,311.649493333333,337.302613333333,344.73664,362.502506666667,378.70432,425.48576,392.966933333333
"2",573.347626666667,718.464426666667,845.024213333333,858.90656,932.689706666667,1012.65866666667,1109.76949333333,1110.38762666667,1144.89792,1298.2336,1326.85493333333,1401.53930666667,1455.304,1500.41472,1627.77653333333,1611.92309333333,1696.104
"3",565.113173333333,716.230186666667,723.80288,802.274026666667,890.803733333333,942.678933333333,1022.31456,968.936746666667,1111.91989333333,1179.69248,1317.99594666667,1251.81589333333,1476.79626666667,1369.55584,1634.73994666667,1639.16448,1704.67264
"4",321.087573333333,357.403093333333,379.831466666667,353.402986666667,376.3584,385.98848,429.790613333333,362.130773333333,458.393813333333,436.47968,516.045546666667,495.278826666667,583.700906666667,544.21376,645.437653333333,626.544213333333,639.71296
"5",264.422506666667,283.230186666667,339.60864,284.350613333333,323.81408,313.545386666667,340.188053333333,323.639573333333,373.00224,402.842773333333,442.753173333333,437.361386666667,495.215786666667,502.365866666667,577.87552,590.582506666667,559.8096
"6",334.587306666667,453.613013333333,405.03776,391.948266666667,382.583253333333,408.572373333333,380.935466666667,345.755626666667,352.916053333333,353.56768,346.28128,326.247253333333,384.122666666667,370.52544,378.519893333333,364.728426666667,386.153493333333
"7",677.928533333333,1048.61866666667,1055.04224,1165.91018666667,1182.80458666667,1247.21717333333,1288.40725333333,1291.01685333333,1268.14826666667,1510.55072,1537.42389333333,1618.19797333333,1647.42506666667,1635.05312,1883.91082666667,1832.64789333333,1908.14730666667
"8",719.524373333333,934.81536,1011.98485333333,1062.20032,1206.63264,1311.04938666667,1428.64309333333,1439.79509333333,1579.51978666667,1788.30538666667,1930.42634666667,1968.64469333333,2129.26634666667,2077.56821333333,2350.99178666667,2336.94442666667,2263.63328
"9",1157.30602666667,1411.07669333333,1470.28426666667,1566.82773333333,1717.68853333333,1875.49632,2005.44341333333,1951.31349333333,2022.44864,2268.14421333333,2417.98368,2380.87381333333,2551.08874666667,2484.88064,2716.82410666667,2624.13344,2553.62933333333
"10",408.080533333333,505.455253333333,531.996906666667,542.346346666667,634.675306666667,696.465493333333,723.727893333333,740.349546666667,797.215146666667,900.821226666667,964.794133333333,995.163306666667,1075.52512,1074.13173333333,1248.96469333333,1218.01408,1256.69013333333
"11",630.56672,818.74816,767.57728,734.121173333333,770.717013333333,782.774186666667,786.674133333333,789.213226666667,751.494293333333,859.34592,877.128746666667,866.68096,950.089173333333,892.022933333333,1071.23093333333,1053.90538666667,1059.66048
"12",592.831253333333,883.175786666667,894.53888,994.182613333333,1032.12672,1157.76576,1223.97952,1226.93877333333,1348.63989333333,1546.79765333333,1642.53013333333,1674.09578666667,1785.83786666667,1759.49258666667,1992.80778666667,1974.37546666667,2003.416
"13",1201.64725333333,1482.38954666667,1533.45674666667,1707.9088,1738.67488,1924.79722666667,2035.30528,2021.16128,2060.29973333333,2431.63146666667,2455.63957333333,2411.11584,2444.14826666667,2432.66474666667,2687.88832,2652.79616,2455.74485333333
"14",787.510186666667,1160.80330666667,1130.93856,1249.20405333333,1392.65514666667,1430.66250666667,1576.85802666667,1479.60821333333,1591.15637333333,1774.35306666667,1956.88810666667,1998.98304,2185.10592,2021.02666666667,2412.07402666667,2300.86592,2239.03349333333
"15",573.988586666667,867.29472,769.81376,787.969066666667,791.882666666667,779.899733333333,831.910293333333,716.438933333333,753.094933333333,756.5632,917.341866666667,869.094826666667,956.540906666667,889.33504,1063.62997333333,988.839146666667,1044.552
"16",1205.93312,1464.0736,1531.43456,1621.61557333333,1694.90026666667,1771.23114666667,1892.17066666667,1782.02048,1825.80224,1997.15392,2161.23029333333,2121.55392,2259.24192,2115.98698666667,2350.35957333333,2303.97269333333,2249.816
"17",889.982933333333,1229.41301333333,1310.91733333333,1412.23936,1542.84618666667,1715.58730666667,1786.01290666667,1782.12448,1808.17674666667,1978.17504,2066.73706666667,2201.08117333333,2216.83573333333,2191.98368,2493.56234666667,2380.28384,2263.73034666667
"18",538.6032,855.714346666667,722.475413333333,752.60224,744.553493333333,750.23936,821.930773333333,785.939413333333,773.353706666667,853.993493333333,904.54912,869.858666666667,944.534933333333,892.378773333333,1045.3568,1011.29653333333,979.44928
"19",647.9744,931.45504,854.642026666667,862.94432,928.761066666667,907.69568,942.242346666667,840.809386666667,934.924266666667,982.63552,1027.52896,978.83456,1090.50656,1025.64,1173.57397333333,1113.32416,1121.53664
"20",559.319573333333,752.551786666667,678.856746666667,670.903786666667,684.90368,635.562346666667,661.901546666667,554.59424,601.404266666667,594.74336,603.606613333333,553.674133333333,575.19584,584.5296,602.1296,588.782826666667,618.656533333333
"21",510.674346666667,754.23584,704.406933333333,777.888213333333,824.934826666667,935.670186666667,906.68352,1006.39658666667,971.895573333333,1146.45621333333,1276.95776,1354.23861333333,1435.88842666667,1440.54176,1575.40992,1582.36853333333,1537.38602666667
"22",532.595093333333,749.594133333333,770.04032,863.604373333333,982.6592,946.681493333333,1123.52437333333,1042.68437333333,1132.40736,1286.69450666667,1397.76629333333,1421.61749333333,1544.60906666667,1502.21984,1687.49802666667,1685.86837333333,1723.02144
"23",210.7552,333.528213333333,327.525973333333,329.69216,330.754666666667,326.712853333333,346.198506666667,369.97472,347.352213333333,406.668693333333,459.324373333333,436.311146666667,470.05696,449.384426666667,548.889493333333,533.502613333333,555.412906666667
"24",543.15264,767.222186666667,751.68352,798.47232,814.029546666667,873.855573333333,886.211733333333,835.724053333333,829.939093333333,887.341333333333,919.164693333333,925.03488,954.452586666667,970.96608,1057.05653333333,1069.45504,1101.09088
"25",194.318506666667,150.63584,213.33952,178.15392,246.47744,260.772693333333,244.598613333333,243.832213333333,252.900053333333,288.497173333333,310.623893333333,316.64288,388.146453333333,376.25344,470.9296,458.50144,490.273173333333


Estimated N.J
"WMD","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
"1",1212.27445333333,840.171413333333,1032.93994666667,1025.47338666667,1108.07818666667,1106.49205333333,1061.23488,1008.72597333333,1089.2784,1175.51477333333,1256.32501333333,1400.98666666667,1400.45834666667,1428.05856,1688.93365333333,1457.86186666667,1948.19594666667
"2",2611.75285333333,3142.02165333333,2886.07573333333,3272.13781333333,3696.46965333333,4019.1712,3707.89418666667,4102.15456,4564.92362666667,4685.18688,4883.79082666667,5049.72682666667,5322.12330666667,5743.28522666667,5679.32394666667,5703.95776,6510.17184
"3",2622.72458666667,2581.52757333333,2805.29450666667,2996.07424,3415.97557333333,3670.32832,3371.63989333333,4103.22688,4165.38496,4844.41557333333,4300.68704,5261.43584,4642.01482666667,6001.36533333333,5488.37888,5980.4608,6643.43904
"4",1408.71808,1496.02005333333,1233.55242666667,1421.85856,1490.70965333333,1640.6544,1270.59936,1859.46784,1516.28330666667,1936.53482666667,1775.45333333333,2225.42133333333,1985.62058666667,2592.77066666667,2389.89834666667,2410.7344,2770.17706666667
"5",1040.36832,1325.9648,968.107626666667,1298.30197333333,1110.97717333333,1268.50250666667,1131.97802666667,1408.71029333333,1498.33045333333,1678.32042666667,1538.29354666667,1875.79829333333,1789.18005333333,2278.67914666667,2262.79936,2059.65322666667,2686.38037333333
"6",1934.7088,1526.51605333333,1529.57664,1467.40757333333,1666.73674666667,1508.05802666667,1345.46709333333,1458.72501333333,1364.57301333333,1380.07178666667,1186.96522666667,1569.30474666667,1388.30069333333,1551.80341333333,1464.76704,1490.22101333333,1760.09845333333
"7",4014.28330666667,3568.04768,4157.90474666667,3989.63765333333,4561.18666666667,4725.07530666667,4468.0784,4536.61802666667,5368.6672,5359.58805333333,5600.39530666667,5680.12768,5815.42218666667,6645.24522666667,6231.88661333333,6366.91616,6850.91445333333
"8",3254.81237333333,3611.45429333333,3728.71562666667,4253.60789333333,4542.31317333333,5031.76298666667,4629.16448,5341.05034666667,6001.41301333333,6690.23018666667,6800.59424,7304.86464,6750.20053333333,7979.60224,7709.19029333333,7211.304,8381.61952
"9",4643.95413333333,4982.49536,5314.94549333333,5828.38592,6401.44117333333,6924.66730666667,6174.43626666667,6549.62602666667,7435.24074666667,8054.89045333333,7787.24992,8477.82634666667,8081.20629333333,9057.85408,8264.75445333333,7828.00362666667,9187.58954666667
"10",1850.18538666667,1972.43552,1924.42677333333,2283.46709333333,2616.52469333333,2682.85738666667,2510.46453333333,2825.31402666667,3069.94613333333,3524.88736,3498.54784,3834.23146666667,3830.65845333333,4625.11338666667,4341.21610666667,4482.01909333333,5263.34005333333
"11",3214.22464,2933.19178666667,2756.12864,2861.07605333333,3068.85930666667,2968.35744,2732.86517333333,2733.70389333333,3184.59072,3158.88021333333,3191.81930666667,3673.1328,3162.32021333333,4215.48170666667,3985.85376,3891.12330666667,4468.92757333333
"12",3172.39338666667,3149.57781333333,3456.74282666667,3583.19093333333,4284.25610666667,4255.89098666667,4029.13344,4777.58922666667,5126.06368,5703.30922666667,5760.62005333333,6227.56970666667,6007.79552,7031.13642666667,6754.27637333333,6539.27541333333,7730.06496
"13",4911.07093333333,5463.13408,5860.71445333333,5704.00576,6651.58901333333,6892.63637333333,6416.75722666667,6857.58826666667,8072.2112,8243.12810666667,7754.53237333333,8072.58272,7904.41045333333,9065.69909333333,8788.39872,7935.49130666667,9279.60821333333
"14",4208.0128,3812.92757333333,4425.12192,4711.05941333333,5071.66314666667,5763.17162666667,4689.07733333333,5539.48757333333,5935.41461333333,6819.7824,6598.98357333333,7485.71797333333,6640.26528,8556.79861333333,7577.63776,7275.42282666667,8399.23125333333
"15",3552.59808,2795.17472,2991.38602666667,2811.79338666667,3093.58933333333,3258.54698666667,2504.04789333333,2871.43210666667,2620.18282666667,3481.40245333333,3094.4816,3675.01493333333,3197.27712,4110.0032,3626.46133333333,3876.52810666667,4300.872
"16",5022.90336,5304.61856,5312.40522666667,5663.66528,6223.09717333333,6621.59221333333,5637.66805333333,6263.22581333333,6833.39637333333,7464.47882666667,7085.77589333333,7700.11562666667,7026.32821333333,8359.83936,7719.22752,7211.70890666667,8335.95072
"17",4326.05994666667,4493.94997333333,4843.26954666667,5332.22122666667,5971.37856,6212.29696,5706.22698666667,6271.82026666667,6464.18997333333,6998.07338666667,7542.70410666667,7561.01269333333,7287.3312,8493.76842666667,7799.21408,7318.91392,8875.97162666667
"18",3538.328,2475.76490666667,3034.53898666667,2634.74794666667,2845.94666666667,3297.60864,2778.19178666667,2813.2976,3061.77941333333,3485.73941333333,3365.36661333333,3507.92458666667,3297.54762666667,4130.264,3737.68778666667,3651.54666666667,4340.17408
"19",3592.75605333333,3024.28373333333,3141.42624,3503.7968,3373.52778666667,3643.00704,2841.53866666667,3408.37664,3545.19029333333,3948.65653333333,3628.38325333333,4113.89397333333,3718.52853333333,4395.69706666667,4034.98378666667,4013.05781333333,4758.14869333333
"20",2997.66442666667,2610.77269333333,2615.40490666667,2489.92181333333,2464.89877333333,2667.27936,2035.52597333333,2381.27349333333,2183.81728,2411.59381333333,2043.59157333333,2245.18101333333,2260.35146666667,2356.53397333333,2209.99786666667,2352.23349333333,2592.62122666667
"21",2880.78346666667,2493.82592,2767.90304,3066.48,3547.84010666667,3170.26069333333,3479.11562666667,3337.20138666667,4071.89002666667,4595.09141333333,4669.34069333333,5124.9888,5013.36725333333,5715.14336,5598.17696,5252.21642666667,6650.58794666667
"22",2924.04213333333,2804.76853333333,3089.50794666667,3519.99946666667,3376.05653333333,4241.44544,3364.57386666667,4162.24192,4520.9392,5168.58218666667,4911.06506666667,5652.9456,5129.80576,6147.10698666667,5826.976,5872.23776,7047.14122666667
"23",1363.13450666667,1305.92,1235.89237333333,1298.67701333333,1252.39178666667,1428.78186666667,1333.31776,1289.40309333333,1568.95616,1764.48906666667,1613.57365333333,1675.45728,1676.64618666667,2150.12981333333,2018.18837333333,2070.95125333333,2431.33728
"24",2988.3872,2664.62570666667,2843.51786666667,2933.23114666667,3302.59477333333,3303.24384,2996.57109333333,3007.48522666667,3410.29952,3498.10176,3303.1568,3645.91765333333,3395.20533333333,3889.71104,3802.48714666667,3846.12202666667,4636.95957333333
"25",504.309013333333,904.305386666667,567.065493333333,953.510613333333,984.664213333333,966.620693333333,958.81472,941.295786666667,1030.79658666667,1142.74922666667,1228.30197333333,1496.75637333333,1255.06378666667,1837.17984,1729.16234666667,1731.59104,2388.53162666667


Estimated R
"WMD","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16"
"1",4.75638577991973,3.50760627746217,4.41980819103927,3.99187169073329,4.06901895747417,3.81668316102942,3.4146091458521,3.87171846340473,4.27836692833135,4.28589472460352,4.50551324105571,4.16008557651408,4.15192360563924,4.67008403734712,3.85697072369295,4.58404898024045
"2",5.48702235778608,4.02016260501529,3.87516761033928,4.30785104026975,4.31295337154432,3.66412998850716,3.69912314351166,4.11532085850187,4.09545466936494,3.76410717432887,3.80891008064355,3.79999146371587,3.94900440777792,3.78772193449644,3.505334999301,4.0410755132851
