"WMD","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"5",0.15366968414197,0.134271454910572,0.144854342297056,0.143235642115044,0.178688016817908,0.163566269020633,0.157948587631991,0.175284763048776,0.132175054652212,0.157505263594112
"6",0.14209058409876,0.138735213260738,0.134015144509989,0.133340620329902,0.121498214992398,0.255857413123356,0.163042853795342,0.132458428281668,0.202388057304734,0.190277780053866
"7",0.0960042989437652,0.0791087674532966,0.107428416227673,0.146389802846967,0.136827751980187,0.102430835934041,0.102885183657734,0.104521699912254,0.0751096128773258,0.103011717149188
"8",0.0871666140615753,0.0782817938208458,0.0814318114983664,0.0960687849455014,0.154434723903573,0.0778067286358575,0.144990057841799,0.0704991190239013,0.0901587593456154,0.1063935685444
"9",0.0949175980415942,0.0802093548925572,0.138751326750909,0.174371274405413,0.118330570385385,0.0853833058256179,0.102733198239224,0.103904495187054,0.111442799555383,0.100358174300802
"10",0.119480869448465,0.13469714678207,0.13439097487067,0.197132769575728,0.156856923939607,0.140953777414232,0.166966634539911,0.143353868746681,0.161732663754888,0.113112643370863
"11",0.13872671721885,0.0983655300222327,0.130138593007763,0.14477598790886,0.149068995963432,0.110805031486766,0.13570731749056,0.126676856893476,0.152170053216733,0.175684963828679
"12",0.126849888574307,0.120628017752098,0.11235566212298,0.186898674640614,0.131087324010957,0.163045215950344,0.1435705410627,0.20662571440157,0.111677948904052,0.180467793251068
"13",0.106045653293787,0.0907803626383596,0.0972463558595552,0.187648620353023,0.157688150368726,0.121213101284587,0.122912672705318,0.0868552254365417,0.125683213533938,0.13693016872006
"14",0.0999516952368578,0.102739955171768,0.100530488172302,0.152241558121753,0.089105044697565,0.122034535014266,0.111338249083265,0.0934613362570463,0.0987542625822341,0.12516968836499
"15",0.163171369899964,0.153168716203742,0.173212990956653,0.201138187086778,0.145052934982154,0.174087095404441,0.196614287267654,0.190368351598038,0.228426748289009,0.20174286472543
"16",0.133752136669541,0.129591414347284,0.146457950861373,0.196597049409901,0.180997134096588,0.121886063015961,0.120328350861206,0.145472472253813,0.162840217124074,0.190047344226904
"17",0.155101547269014,0.1433189826152,0.146590965472164,0.217084974161878,0.185703310776932,0.129198537691099,0.152935780575711,0.14369363851744,0.196449871465927,0.184438821544638
"18",0.104496840698505,0.0940704809179003,0.0908937629158736,0.167923333897208,0.124433825009315,0.0810778696196913,0.0892894793970006,0.0764349244481949,0.136921841320461,0.128823379408332
"19",0.0836324410121696,0.181776431300344,0.0927836170563027,0.155081623557615,0.13505369408097,0.111862055343484,0.0784896127176678,0.0884765371325649,0.121800339033994,0.0855275162208184
"20",0.157743481738996,0.169435574101448,0.169382356584951,0.173165904508325,0.161037858740899,0.14875443248284,0.129809738953257,0.25147634415419,0.196959623737177,0.204243278971458
"21",0.185079261096357,0.208121749562153,0.216906696484461,0.199819299007984,0.171474703587151,0.186594805698416,0.207394561561859,0.184296922745242,0.240323739102103,0.271156853264717
"22",0.147802607438142,0.176746737409278,0.181734181656715,0.224495606824943,0.215539453109498,0.134892971755397,0.165834076829434,0.184610353062643,0.199634109366918,0.218748794859133
"23",0.133672187000054,0.141696115130121,0.146014131716465,0.18219172513938,0.176787614464923,0.135450634089423,0.122618614467263,0.116522890429385,0.195253728877598,0.200098280386134
"24",0.157619669899821,0.175002036569446,0.197851508084623,0.20388141936087,0.18806078596963,0.244862451700179,0.261535760913461,0.180785210359935,0.170658648680298,0.167015538272306
"25",0.123905261034838,0.158163097461219,0.153644544943993,0.191920053847329,0.183578422600847,0.153871454073681,0.144081364051767,0.16235543165123,0.217387274211397,0.243169316765998
"26",0.16779197241679,0.159860573911936,0.151692345895339,0.202118331063945,0.172170772312069,0.139353254272216,0.172930137558775,0.1728721778795,0.25232752310989,0.265268861436391
"27",0.1083318347352,0.123031575090049,0.111208797223931,0.196301270527842,0.155323587752536,0.119435257035232,0.148617474988261,0.101548685246326,0.138354063919548,0.140498791616622
"28",0.0496033706337143,0.342720737127444,0.0838021888830611,0.118495779676198,0.0782076954615125,0.0571749281143138,0.050496239014388,0.0596894976695102,0.0531498198285223,0.0693829645117826
