"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"WMD.HR.J.SS[17,9]",0.154972286142743,0.0121882875710889,0.134175694537381,0.14559668504029,0.153856276000953,0.164060398658978,0.178887075952394,1.93425036210265,8
"WMD.HR.J.SS[18,9]",0.120751321239416,0.00718406026652845,0.107075827533898,0.116035948426378,0.120326978450037,0.12554116378225,0.135325127312695,1.09154085878173,41
"WMD.HR.J.SS[19,9]",0.122298194850718,0.00976820977302873,0.10281235909129,0.11572399272558,0.121647114530848,0.129022818267238,0.14139029662292,1.47543386395737,11
"WMD.HR.J.SS[20,9]",0.156859011560603,0.0103993903821285,0.139160439890896,0.149356489369514,0.156188982838054,0.163509809623894,0.178255365411927,1.33221815933776,14
"WMD.HR.J.SS[21,9]",0.153335638445818,0.0105467084523164,0.134501657744766,0.145905253842634,0.153147321905431,0.15949474156242,0.17534862008083,1.64363019782276,10
"WMD.HR.J.SS[22,9]",0.146567936302533,0.0099773917614202,0.13052952413751,0.139143863849068,0.14495394318873,0.152797278521758,0.167478364716601,1.5132583315251,11
"WMD.HR.J.SS[23,9]",0.119881574210515,0.00886124776145144,0.10209713948911,0.11364743632954,0.119371842637267,0.12584044693315,0.137513242506805,1.22937170876814,19
"WMD.HR.J.SS[24,9]",0.125648448492931,0.00810891664170112,0.111481750746218,0.119877360698351,0.124918500485591,0.130886746011405,0.143110454753128,1.1631738052737,24
"WMD.HR.J.SS[25,9]",0.171015480062306,0.0145257017077633,0.147094713048738,0.159928161439042,0.168709615397041,0.182464757358987,0.199941855498336,1.36680002288306,14
"WMD.HR.J.SS[1,10]",0.147936867796787,0.00930448342544449,0.131640817628718,0.141922696049141,0.147294088295232,0.153107410169322,0.170317516600203,1.15475947399248,28
"WMD.HR.J.SS[2,10]",0.140363347948299,0.00788565621203042,0.126198633900505,0.134749687379148,0.139696304238987,0.14553615386138,0.156225650200256,1.14287977037469,26
"WMD.HR.J.SS[3,10]",0.146284848438462,0.0102873765644473,0.12769157878627,0.138811950112088,0.146144833139566,0.1525693731534,0.168795322018808,1.17986834126428,23
"WMD.HR.J.SS[4,10]",0.149958406766841,0.0101328744212995,0.130597736982216,0.143384713592202,0.149555598706797,0.156331789978673,0.171320252710272,1.1339720445268,30
"WMD.HR.J.SS[5,10]",0.153363693586364,0.010917308752511,0.132961282249299,0.145158021039217,0.153516219416084,0.160589648819876,0.176008670429127,1.36792764691791,13
"WMD.HR.J.SS[6,10]",0.138972743916364,0.00864767864805815,0.123408340627287,0.13285253607401,0.138438923750261,0.144843904939476,0.156850795787396,1.45303822277338,12
"WMD.HR.J.SS[7,10]",0.130742548241596,0.00980845291070801,0.110995923709402,0.12490085787867,0.131285050899262,0.136345311973304,0.150613446100859,1.54134736590816,10
"WMD.HR.J.SS[8,10]",0.138507100784431,0.0083284793700991,0.123131454001094,0.132539162536792,0.13822940894657,0.144462130612588,0.154591706970075,1.07392668826691,48
"WMD.HR.J.SS[9,10]",0.149062215152321,0.00864852731766485,0.132015905088251,0.14332857421366,0.149131504169332,0.1551554489871,0.165199261453732,1.16732332090403,24
"WMD.HR.J.SS[10,10]",0.150173328743642,0.00976463155142517,0.132760582681951,0.14318003356558,0.14969053792152,0.156389908752271,0.170585307740439,1.37862041265172,13
"WMD.HR.J.SS[11,10]",0.149526597654932,0.0129437306881046,0.126595132855427,0.138745954652495,0.150501132104633,0.159117696150447,0.172497262534767,1.87534164118139,8
"WMD.HR.J.SS[12,10]",0.140044424682327,0.0137626695637384,0.112439128159496,0.13149294313152,0.14096231876137,0.150218690461461,0.164474797720369,2.40688420971337,7
"WMD.HR.J.SS[13,10]",0.134896693130868,0.00973866197944973,0.115343969796363,0.128408712003073,0.13519913334632,0.141497076343825,0.154215239594741,1.66943962630101,9
"WMD.HR.J.SS[14,10]",0.132242443399668,0.00810147952608484,0.117842107087862,0.126545596069724,0.131856591307493,0.1374420083727,0.150101720934476,1.20450029190223,20
"WMD.HR.J.SS[15,10]",0.138007667898693,0.00729340699666906,0.125593945335648,0.132991715402224,0.137212613246074,0.142460115165842,0.154367042169948,1.04764368570162,79
"WMD.HR.J.SS[16,10]",0.153638584160601,0.0139943850702435,0.132438136043435,0.142867010093416,0.150988473902986,0.163451364782113,0.182356490904915,1.71431572808899,9
"WMD.HR.J.SS[17,10]",0.15482736593253,0.0121393922992049,0.133756898744754,0.145558967487594,0.153964101812096,0.164262281673668,0.17834277811041,1.9403921205644,8
"WMD.HR.J.SS[18,10]",0.118597570876517,0.00689653797022159,0.105608278554949,0.113963631688975,0.118353005708043,0.123061384560761,0.13303487974058,1.09990335598196,38
"WMD.HR.J.SS[19,10]",0.121616855089756,0.00969041589444397,0.102701824988052,0.115240675946244,0.12095827513821,0.128510396057653,0.140504969330881,1.47846991309201,11
"WMD.HR.J.SS[20,10]",0.157079108080686,0.0104495495826905,0.138673067615369,0.149641082155872,0.156503001867112,0.163772299687881,0.177842275291762,1.30705857153039,15
"WMD.HR.J.SS[21,10]",0.151935319274931,0.0107500702990663,0.133226157148724,0.144385798623527,0.151248570698426,0.158252097633674,0.1742706364165,1.65685615418325,9
"WMD.HR.J.SS[22,10]",0.144651177082889,0.00991742202240877,0.127905023615313,0.137568793934248,0.143203237650937,0.150828483274587,0.165136049797848,1.50100985236145,11
"WMD.HR.J.SS[23,10]",0.118155938847671,0.00885894129319809,0.100668238061611,0.112160978606537,0.117278523134626,0.124009801859319,0.136034842771167,1.25818853931315,17
"WMD.HR.J.SS[24,10]",0.124843579723095,0.00781311017266769,0.111130871060616,0.119334519384819,0.12436042800817,0.129461111032017,0.14204337920479,1.16351885177734,25
"WMD.HR.J.SS[25,10]",0.168891477281708,0.0143844726607204,0.145252254371267,0.157721729525373,0.166853144290182,0.179980669558324,0.19698311861724,1.39152634506494,13
"WMD.HR.J.SS[1,11]",0.161558962015889,0.00893462243430351,0.145786068103862,0.155947223431585,0.161005792427581,0.166397004089306,0.184170285311638,1.33073612056005,15
"WMD.HR.J.SS[2,11]",0.153702678417908,0.00740000179125629,0.141473490652362,0.147889832674304,0.153211297861254,0.158845305452642,0.168754995394746,1.33146514728774,14
"WMD.HR.J.SS[3,11]",0.159218867108334,0.0100274682909804,0.141242655935221,0.151820828743967,0.159141218506236,0.165344788924017,0.182034194735098,1.29149956419832,17
"WMD.HR.J.SS[4,11]",0.163275218249316,0.00932896070165901,0.146066119633445,0.157321310263108,0.162635324879035,0.16904530532045,0.182189603052959,1.21617869305454,21
"WMD.HR.J.SS[5,11]",0.168594880515237,0.0105912377673891,0.150776721463617,0.160071859952167,0.168426309957383,0.175947163225756,0.191849722449105,1.47940225414195,11
"WMD.HR.J.SS[6,11]",0.152496558379586,0.00839307115546504,0.13691555589603,0.146477876600274,0.152325003084186,0.158001715614398,0.170497266954739,1.69018162894819,9
"WMD.HR.J.SS[7,11]",0.145506772365011,0.00960854191984377,0.126015322291693,0.139883849950882,0.145839265066901,0.150561134230178,0.166980242290914,1.70436191821154,9
"WMD.HR.J.SS[8,11]",0.153884875466245,0.00753301029621858,0.140363861007536,0.14827930381871,0.153358986693144,0.159301449368324,0.168995609486059,1.09028551813945,44
"WMD.HR.J.SS[9,11]",0.164007010222558,0.00810286778267663,0.147816452574847,0.158072614917378,0.163954181496393,0.17059984734725,0.177972175788591,1.31683085314602,15
"WMD.HR.J.SS[10,11]",0.164889763124006,0.00933542896792866,0.149056087216066,0.158119787559625,0.164442885937016,0.170032724446501,0.184911505463437,1.63015241510799,10
"WMD.HR.J.SS[11,11]",0.16326242782106,0.0131485327093635,0.140528460729383,0.151151761059594,0.1659133146083,0.172789216826393,0.185598005059244,2.15908945326115,7
"WMD.HR.J.SS[12,11]",0.153511186778726,0.0148169275846622,0.123328266918658,0.145195415731586,0.154679354096189,0.164151507146485,0.178104928184927,3.00454534053837,6
"WMD.HR.J.SS[13,11]",0.148654892344818,0.00951552664193021,0.128113932316579,0.142094594984239,0.149755662037298,0.155348321496175,0.166552385961845,2.02180455720761,8
