"WMD","2014","2015","2016","2017","2018","2019"
"5",0.486977591189292,0.481673759720945,0.507888789506304,0.450476553125994,0.515092779896261,0.496391855996541
"6",0.807039259438777,0.528371626586814,0.436600866161519,0.621397830082525,0.571589641954396,0.5511298315047
"7",0.452452627139601,0.424812539160476,0.421813100444137,0.420851608867912,0.623513129250979,0.512094170531359
"8",0.514337224375838,0.552993187218144,0.324865293831225,0.551465226745411,0.571728591453847,0.516569745240446
"9",0.338394540187774,0.494704255229802,0.423822082687889,0.466068269192302,0.500831443108801,0.533667162399684
"10",0.325968612943547,0.534032994855817,0.498876619638801,0.526350848990896,0.457891777344805,0.52692061256113
"11",0.255958361091981,0.445965157985096,0.47751592893692,0.57195208197641,0.596493616100556,0.521640368487679
"12",0.700759714965077,0.510970407059981,0.622144300000821,0.380407920331431,0.709065421331859,0.543554365087028
"13",0.468477982427171,0.438265922124861,0.412411306315822,0.632947710032481,0.6430285870845,0.518559116927417
"14",0.682553690449655,0.550988370334896,0.463633099936507,0.477803272051051,0.624219447180032,0.540061320715113
"15",0.690619166753686,0.540068953376229,0.586016554578306,0.686661116600956,0.549622493775755,0.531740081632232
"16",0.475332186434259,0.516379698581026,0.593458847829935,0.59874940008806,0.67613036131504,0.527233130302015
"17",0.435998278395419,0.480481159608652,0.441064129603785,0.609941892553202,0.573458334122718,0.543225934965906
"18",0.380604158702037,0.418856095028453,0.353834943882108,0.659168603458841,0.544877737915707,0.539367286328616
"19",0.311768565276151,0.430502413473591,0.500829861514702,0.594075781743285,0.51070317048377,0.551992411971364
"20",0.454910655811365,0.471168547579447,0.699827219541972,0.552071768153213,0.583040674432398,0.50276403083536
"21",0.575782949740268,0.565681095278434,0.531082913272811,0.632794211179574,0.636067630550088,0.528059078945489
"22",0.505155366122327,0.647434969531661,0.603037172361248,0.636277117138883,0.633768172372322,0.535233743996485
"23",0.535158700116183,0.452338279650903,0.508618301148622,0.723273782923707,0.662091028863447,0.537319920016929
"24",0.620133989393702,0.534815468729407,0.27249414995017,0.505682293287422,0.559995905892075,0.54032622832268
"25",0.60988830307818,0.563761795263139,0.636412977252273,0.702525925231787,0.731774207125018,0.570886823404067
"26",0.485193685107946,0.573130096966044,0.487552158462002,0.650163940266735,0.631142164908719,0.541871643735509
"27",0.505502187105268,0.509134955519147,0.429310095610861,0.629425728739776,0.60415582799968,0.525612242597934
"28",0.53724386888638,0.465452962076845,0.511830486216867,0.5294579597377,0.662252396406969,0.518134749298446
