,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
"WMD.HR.A[28,5]",0.173337931,0.032063305,0.114872539,0.150183358,0.17107785,0.198325357,0.235017145,1.378583247,9
"WMD.HR.A[5,6]",0.189268853,0.035836021,0.124628516,0.165885025,0.18694415,0.212474869,0.268129902,1.060945697,76
"WMD.HR.A[6,6]",0.181409424,0.032323837,0.126896964,0.157245476,0.180603578,0.200855282,0.251033295,1.1328189,21
"WMD.HR.A[7,6]",0.181917491,0.034125248,0.113609358,0.161954236,0.181767671,0.199616361,0.26025855,1.117069595,67
"WMD.HR.A[8,6]",0.180488537,0.039985082,0.099789653,0.1537101,0.185597392,0.208312686,0.25438444,1.522627466,8
"WMD.HR.A[9,6]",0.151967269,0.038727893,0.078680794,0.120905728,0.159879838,0.178305829,0.22169233,2.420836151,4
"WMD.HR.A[10,6]",0.179076351,0.032832693,0.117143621,0.158665805,0.177069087,0.197772293,0.249616813,1.091968393,33
"WMD.HR.A[11,6]",0.200372931,0.032648871,0.146649979,0.176865135,0.198685795,0.218792493,0.274071324,1.178988282,16
"WMD.HR.A[12,6]",0.167253471,0.032008498,0.112390168,0.145567433,0.164237217,0.185565087,0.242133513,1.558767496,7
"WMD.HR.A[13,6]",0.197585752,0.033864651,0.144572609,0.173184247,0.194207312,0.214923876,0.277888351,1.1800532,18
"WMD.HR.A[14,6]",0.170267117,0.04371476,0.090253516,0.135377704,0.175745987,0.20224898,0.250475537,2.781745515,4
"WMD.HR.A[15,6]",0.186359159,0.035304367,0.128349585,0.160000086,0.185006656,0.205852085,0.268050288,1.479629786,8
"WMD.HR.A[16,6]",0.206951934,0.033565174,0.156347943,0.184523088,0.201438384,0.224811757,0.288334365,1.227175282,13
"WMD.HR.A[17,6]",0.199970111,0.036550671,0.133178786,0.173923408,0.197585472,0.221131688,0.280931109,1.762336182,6
"WMD.HR.A[18,6]",0.199179573,0.029889495,0.145450671,0.179235044,0.196500964,0.21729416,0.263664766,1.059694976,40
"WMD.HR.A[19,6]",0.178130572,0.028638071,0.126760105,0.160077758,0.175569545,0.19239705,0.244455807,1.069110746,48
"WMD.HR.A[20,6]",0.180993027,0.02570208,0.135017275,0.163574813,0.179496387,0.194936619,0.239616506,1.16249221,17
"WMD.HR.A[21,6]",0.195781794,0.029197816,0.139739655,0.178247375,0.194468239,0.210133916,0.262848461,1.00205621,3800
"WMD.HR.A[22,6]",0.194251093,0.029947537,0.145338946,0.174065281,0.188871513,0.211154355,0.262537967,1.481283825,8
"WMD.HR.A[23,6]",0.180811731,0.027475849,0.134417413,0.163458473,0.178494694,0.194386845,0.239171666,1.417488774,9
"WMD.HR.A[24,6]",0.185237805,0.033568971,0.126305183,0.16084982,0.180643856,0.210626108,0.252090106,1.099989061,28
"WMD.HR.A[25,6]",0.208544653,0.031475689,0.158071688,0.185458428,0.204819589,0.229778002,0.275086853,1.36802841,9
"WMD.HR.A[26,6]",0.199722344,0.029980735,0.147504506,0.176836476,0.199211664,0.218191212,0.262791869,1.071365696,47
"WMD.HR.A[27,6]",0.184703314,0.028754369,0.133252168,0.164797838,0.183892245,0.200406792,0.248874055,1.040508463,62
"WMD.HR.A[28,6]",0.18726159,0.03248948,0.129471841,0.162114794,0.187007762,0.210010467,0.252395194,1.292538245,11
"WMD.HR.J[5,1]",0.209425556,0.08771497,0.077817276,0.146391328,0.195134839,0.256997344,0.414220204,1.018133946,120
"WMD.HR.J[6,1]",0.048726434,0.017417412,0.023108215,0.03637847,0.045939415,0.057889947,0.089283649,1.039128345,73
"WMD.HR.J[7,1]",0.117857649,0.054181417,0.043124209,0.079559312,0.107482885,0.144492655,0.252016765,1.007864795,430
"WMD.HR.J[8,1]",0.172907055,0.083819667,0.05104014,0.111626701,0.15813669,0.219940298,0.368617622,1.184368563,16
"WMD.HR.J[9,1]",0.182483997,0.091945936,0.054026028,0.112326766,0.166374883,0.235842858,0.400055234,1.337092444,10
"WMD.HR.J[10,1]",0.201722016,0.080425189,0.076653208,0.1443551,0.190741555,0.250011964,0.388571269,1.003398909,840
"WMD.HR.J[11,1]",0.160139231,0.069689748,0.058780723,0.10816504,0.149869065,0.199812999,0.325497336,1.016190337,170
"WMD.HR.J[12,1]",0.054318357,0.019664296,0.027444072,0.041001461,0.050931739,0.063206932,0.103498049,1.039496583,57
"WMD.HR.J[13,1]",0.105853407,0.056177715,0.037553731,0.068650544,0.093195458,0.127512733,0.253210622,1.044285303,60
"WMD.HR.J[14,1]",0.058943689,0.026015485,0.022225364,0.041294766,0.054758849,0.07067811,0.127597956,1.238612693,13
