"Trial","WMD","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17"
1,1,0.445032991,0.759961845,0.613403784,-0.487245731,-0.030060662,0.361742603,0.613586922,0.798406734,0.562089834,0.406986529,-1.2815237,0.555854881,1.568204695,-0.567662894,NA,NA,NA
1,2,0.170156048,0.127474444,-0.119192109,-0.529690268,0.125341827,0.286784299,-0.15181361,-0.571028869,0.127066996,-0.031736038,0.181350771,0.688065959,-0.179281612,0.064429995,NA,NA,NA
1,3,-0.259733083,-0.227813522,-0.342897187,0.180440129,0.158057553,-0.184924099,-0.050386278,-0.391314326,0.199520261,-0.019901237,-0.044725588,-0.342530586,0.091945971,0.304697116,NA,NA,NA
1,4,-0.124374109,-0.068668122,-0.450068968,-0.397837718,0.045465098,0.169011034,-0.180958534,-0.472741781,-0.199586514,-0.378961166,-0.403894114,-0.110258068,-0.478561968,-0.234589319,NA,NA,NA
1,5,-0.020594168,-0.046561092,-0.337367398,-0.641416677,-0.016266672,-0.001739087,-0.496690179,-0.574025492,-0.501926665,-0.234358575,-0.423981825,-0.079791742,-0.286963373,-0.358104525,NA,NA,NA
1,6,0.374357893,0.119099264,-0.37049891,-0.176580249,-0.427173177,-0.093992865,0.091967144,-0.590082905,-0.132226529,-0.125115949,0.223724812,-0.065267215,0.005131566,-0.015680645,NA,NA,NA
1,7,-0.081659745,0.331021687,0.154094625,-0.336600647,-0.022983871,0.033804909,0.003735629,-0.228657187,-0.112602433,0.118114487,0.273383953,-0.571250177,-0.409711836,-0.751433314,NA,NA,NA
1,8,0.13594142,-0.382046174,-0.232311077,-0.05225952,0.521975715,-0.133358891,-0.682095225,-0.097225529,-0.400701319,-0.49982687,-0.390509253,-0.113177186,-0.045649043,-0.041345449,NA,NA,NA
1,9,-0.051020574,-0.268857699,-0.613624675,-0.886254262,-0.364240625,-0.205087653,-0.31694097,-0.412512129,-0.623004717,-0.414815004,-0.688043511,-0.88262286,-0.420340903,-0.25519037,NA,NA,NA
1,10,-0.366054346,-0.265463963,-0.421402768,-0.212132611,-0.398303527,-0.48502739,-0.119897014,-0.206624114,-0.456672407,-0.462237915,-0.578565712,-0.717896967,-0.165328302,-0.251798829,NA,NA,NA
1,11,-0.299902108,-0.032143126,-0.393351752,-0.282953774,-0.343652604,-0.180112268,-0.219816631,-0.626069946,-0.681762163,-0.091770719,-0.578538803,-0.513426493,-0.481582048,-0.347355565,NA,NA,NA
1,12,0.27997686,0.786742103,-0.762109851,-1.350601905,-0.323711332,-0.48266196,0.177334202,-0.011598719,-0.084840485,0.655160171,-0.279224824,0.252644562,-0.046694663,0.381462723,NA,NA,NA
1,13,-0.10497802,0.199020176,0.059252578,-0.152291501,-0.376482201,-0.495838938,-0.292765972,-0.146076288,-0.229647219,-0.145267973,-0.714773658,-0.132899451,-0.241248205,-0.258869569,NA,NA,NA
1,14,-0.190353683,0.04491431,-0.058373444,-0.479035642,-0.627304592,-0.600389891,-0.513980234,-0.510541232,-0.616123123,-0.154757545,-0.64259866,-0.382316518,-0.485238564,-0.417915212,NA,NA,NA
1,15,-0.027625516,0.408194837,-0.339323212,-0.58174156,-0.012910353,-0.274547527,0.014489999,-0.149792835,-0.819023541,-0.598452365,-0.470039422,-0.067270596,-0.33501975,-0.623087004,NA,NA,NA
1,16,-0.259360605,-0.175085394,-0.153887456,-0.093294235,-0.592503289,-0.422250214,-0.20528739,-0.35256354,-0.416869144,-0.14429586,-0.028542078,-0.333373908,-0.35269702,-0.331051627,NA,NA,NA
1,17,0.526956952,-0.259763924,-0.419941123,0.139280048,-0.193498943,-0.65037458,-0.46021703,0.373151987,0.405776097,-0.570690849,-0.478962168,-0.222197645,-0.192281431,-0.079841574,NA,NA,NA
1,18,-0.625776202,-0.215968393,-0.599629931,-0.47593625,0.231458883,0.18259728,0.060305847,0.320514582,0.132945449,-0.06248009,-0.338615441,-0.077267483,-0.591271058,0.021584523,NA,NA,NA
1,19,-0.360971226,-0.36081467,-0.675209119,-0.223953935,-0.113822867,-0.16265612,-0.431294999,-0.261647169,-0.378308333,-0.418006671,-0.404098029,-0.125992949,-0.21880752,-0.352341036,NA,NA,NA
1,20,0.225730886,0.330293442,0.205492453,0.130989243,-0.130456835,0.466132883,0.462223635,0.09115927,-0.195047974,-0.896731701,-0.190988194,-0.140673545,0.435107062,-1.386830583,NA,NA,NA
1,21,0.061166535,-0.299937699,-0.285490001,-0.026028823,-0.24649899,-0.349274662,0.017615503,-0.009233157,-0.41131126,-0.069601295,-0.265293055,0.342360031,-0.043092586,-0.374611625,NA,NA,NA
1,22,-0.47645126,-0.223359883,-0.161228626,-0.324364127,-0.322012721,-0.05051296,0.152551128,-0.25827347,0.260210313,0.398860231,-0.049819533,-0.981525226,0.032716399,-0.065884697,NA,NA,NA
1,23,0.01388232,-0.034590725,-0.502108955,-0.534996092,-0.706195756,0.097070896,0.349302078,-0.573734317,-0.087943938,-0.261094272,-0.749279281,-0.338565714,-0.025361977,-0.011843358,NA,NA,NA
1,24,-0.323886672,0.104648811,-0.022988406,-0.240298039,-0.211676109,-0.112952693,-0.310180637,-0.385014125,-0.106751766,-0.282876333,0.075774215,-0.271657813,-0.66991536,0.112447392,NA,NA,NA
1,25,-0.068030988,0.519470245,0.517502586,0.139049488,0.653557224,-1.221813178,0.470976601,0.685139214,0.868567038,0.120135826,0.838728956,-0.126045249,1.487983704,1.833158878,NA,NA,NA
2,1,0.248602587,-0.202539685,-0.060344915,0.317527073,-0.006513113,0.357883738,-0.012956469,0.475381968,0.601779908,0.356351987,-0.169140357,0.066638509,0.445968118,0.429829439,0.302095052,-0.675950345,NA
2,2,-0.096546899,-0.238599699,-0.210406529,-0.364775133,-0.067773509,0.198799702,0.172057932,-0.002050536,-0.350574269,0.155992327,-0.141330772,-0.132008939,0.034778022,0.053751281,0.126960386,-0.242156541,NA
2,3,0.04843158,0.512927346,0.096206546,-0.246553185,0.649155638,0.739568493,0.642555019,-0.011759273,0.292498667,-0.792159179,-0.780819218,0.796267115,0.390964196,0.480982486,0.567130173,-1.766580627,NA
2,4,0.330983978,0.463274824,-0.071697537,0.342445577,0.075962946,0.8885483,0.397543771,0.020079023,0.344584196,0.751962796,-0.174756175,0.470412572,0.733745086,-0.199047885,-0.152365227,0.907713762,NA
2,5,-0.070577656,0.010340338,-0.001959156,-0.328386385,-0.477471203,-0.495306995,0.148067832,-0.003531501,0.289315934,-0.192896097,-0.106438881,0.261162054,0.238960991,-0.438827999,-0.383291155,0.029227071,NA
