"","Trial","WMD","Age","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
"32",1,7,"J",58.3156,107.9238,171.036,154.3836,108.2814,96.6254,129.7634,72.764,74.3896,73.0622,70.2472,62.9468,42.292,21.5278,8.6328,NA,NA,NA
"33",1,8,"J",-57.9566,-3.04520000000002,-99.9888,-23.8778,7.53719999999998,125.6464,13.609,-25.7582,46.788,0.343399999999974,7.81599999999997,-3.279,24.912,33.1314,55.7098,NA,NA,NA
"34",1,9,"J",-556.849,-357.0342,-537.4868,-637.372,-914.5458,-599.9966,-679.0268,-675.425,-734.7926,-1008.353,-815.3648,-1419.6566,-1619.3116,-1301.173,-1503.7152,NA,NA,NA
"35",1,10,"J",-564.6644,-436.8816,-491.4974,-517.8636,-352.6144,-537.703,-568.452,-230.2008,-378.5898,-500.4562,-485.0466,-733.0584,-882.9626,-422.8166,-619.257,NA,NA,NA
"36",1,11,"J",-452.9162,-297.595,-201.9186,-391.2302,-272.3082,-360.6912,-240.6486,-171.241,-509.2026,-443.8224,-257.9676,-578.538,-495.492,-584.4084,-503.7678,NA,NA,NA
"37",1,12,"J",-32.7226,37.9054,65.3882,-33.2002,0.195600000000013,19.7278,-20.754,18.6354,25.5956,-5.25620000000001,31.4694,6.79400000000001,17.2214,12.1796,13.3662,NA,NA,NA
"38",1,13,"J",-148.3424,-218.6816,-10.7452000000001,-33.451,-98.6374000000001,-78.8209999999999,-187.6304,-102.0868,-92.1112000000001,-44.0788,-17.3068000000001,-287.7448,-11.7560000000001,-114.715,-113.9356,NA,NA,NA
"39",1,14,"J",-189.723,-397.2966,-153.7136,-278.8948,-329.2574,-389.7144,-383.0654,-395.3532,-383.0512,-632.2304,-245.329,-815.0854,-405.778,-742.7164,-629.7278,NA,NA,NA
"40",1,15,"J",-294.0212,-121.6182,44.8822,-231.3746,-177.0968,-37.521,-143.2608,67.6614,-82.825,-95.4244000000001,-176.301,-185.1746,37.4462000000001,-221.055,-291.1262,NA,NA,NA
"41",1,16,"J",-126.1078,-100.165,-38.7284,-24.5085999999999,16.9156,-203.5734,-52.5636,-16.1124,-156.7312,-107.5918,-95.9570000000001,46.2195999999999,-107.2422,-101.4624,-64.0057999999999,NA,NA,NA
"42",1,17,"J",74.4426,226.615,67.4054,87.1708,147.5894,50.9972,91.3778,47.213,136.185,131.3726,78.779,32.5408,54.038,52.9228,58.1872,NA,NA,NA
"43",1,18,"J",63.369,42.2838,71.0588,0.767800000000022,-14.5812,62.6294,31.9316,42.3256,67.1222,58.144,54.5602,-1.25559999999999,34.251,-40.029,9.90600000000001,NA,NA,NA
"44",1,19,"J",-102.2548,-6.81420000000003,-132.0794,-223.9044,-18.8987999999999,-54.9295999999999,95.1128000000001,-90.6012000000001,27.0078000000001,-57.4482,-73.1302000000001,-129.1798,104.8756,-17.5286000000001,1.01420000000007,NA,NA,NA
"45",1,20,"J",-5.47399999999999,78.1376,30.5894,80.753,21.945,35.2458,75.2668,49.1604,36.4934,35.8452,-1.747,18.2322,34.3438,15.459,-14.376,NA,NA,NA
"46",1,21,"J",62.9684,26.9166,45.7694,26.0932,56.6724,-34.2606,38.5904,34.2646,48.798,22.8786,20.6256,-10.1136,44.7,15.9654,-24.8474,NA,NA,NA
"47",1,22,"J",305.1576,141.3028,176.1124,185.1712,162.2874,145.8342,136.0012,112.2044,72.3272,125.2554,104.5014,89.8634,20.3274,56.1752,53.563,NA,NA,NA
"48",1,23,"J",34.6798,143.6566,147.1064,74.4424,114.7588,32.1888,170.6558,160.8894,47.328,181.7942,97.2222,69.5296,88.096,90.8554,96.0862,NA,NA,NA
"49",1,24,"J",44.0466,64.6742,126.0278,122.4444,97.195,140.838,138.0278,87.997,108.8088,59.32,45.8396,125.8732,44.8912,-7.15640000000002,91.6922,NA,NA,NA
"50",1,25,"J",70.1742,76.0394,91.4306,62.8702,79.6612,33.2018,16.8194,46.9516,25.1304,30.343,13.993,13.799,-1.122,9.5424,5.4308,NA,NA,NA
"51",2,1,"A",101.8458,62.3922,53.6864,1.11739999999998,10.3834,30.142,6.29000000000002,2.00559999999999,-13.8288,18.828,30.8702,39.4796,1.49000000000001,31.4154,19.9108,44.3444,31.9486,NA
"52",2,2,"A",-5.12980000000005,-55.3973999999999,-38.7604,-96.187,-101.2378,-138.2916,-151.235,-86.4059999999999,-59.7942,-78.1908,-158.7464,-50.3422,-121.4758,-112.6448,-50.2945999999999,-58.2444,-1.28359999999998,NA
"53",2,3,"A",-5.3462,-1.1078,-2.6292,9.5626,-4.8904,-16.678,-1.678,5.412,9.7072,3.8154,10.7002,-1.4584,-7.182,5.2056,-2.8324,1.738,3.0204,NA
"54",2,4,"A",41.9454,14.0718,35.9768,31.983,20.709,3.7692,1.36539999999999,9.0378,1.0964,-5.003,2.696,4.5356,1.7404,0.7178,5.527,-1.6668,-3.0904,NA
"55",2,5,"A",64.8782,78.8274,92.0188,96.8352,78.1106,78.5766,58.3108,54.5664,75.7588,75.449,81.0462,54.2452,65.7412,79.4412,75.2372,52.3326,54.187,NA
"56",2,6,"A",-34.0646,-28.6156,-4.23060000000001,-13.4874,-12.872,-29.1074,-32.9024,-28.3802,2.2664,-3.89019999999999,46.2148,-14.0774,-33.6824,-25.889,-28.9564,-4.84479999999999,-13.046,NA
"57",2,7,"A",-29.2696,-6.8704,-3.729,9.1056,24.7538,13.153,3.19540000000001,0.769599999999997,-4.80800000000001,-13.9098,-7.4224,-18.2554,2.4194,8.52379999999999,9.4374,-10.8766,-1.8322,NA
"58",2,8,"A",-17.8864,11.4152,16.9432,51.2922,41.7746,68.1232,47.7808,-17.6394,-14.037,15.5184,54.0472,76.3106,75.1484,42.4422,15.8994,46.2044,69.2612,NA
"59",2,9,"A",81.5836,101.37,86.8962,67.6446,58.5682,50.889,38.9546,30.651,50.5112,43.5732,51.5314,37.2856,29.2058,17.1088,20.214,31.0418,25.1694,NA
