Age,Trial,WMD,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
J,1,13,271.6055,186.0409,221.6015,144.4242,166.8143,101.586,36.1664,135.3511,97.8528,76.4889,58.0889,52.5599,23.3439,31.1941,,,,
J,1,14,213.1911,199.7761,209.9516,170.2437,187.2966,137.0465,107.2512,91.5713,118.705,100.6922,94.9185,64.1533,147.7878,1.4335,,,,
J,1,15,127.4783,43.6514,129.0273,79.5833,41.6801,58.193,-24.4372,79.4695,28.5858,98.042,81.6672,52.4467,-16.1168,34.3223,,,,
J,1,16,17.7007,13.0341,100.64,-0.7372,25.3189,20.6663,36.7071,77.8064,9.0689,67.7847,21.4596,28.3045,55.0176,14.7891,,,,
J,1,17,177.981,161.4564,162.7238,137.4668,131.2466,122.7385,151.8889,63.202,74.4468,53.1788,65.9115,80.6489,65.2858,83.6021,,,,
J,1,18,171.7436,129.5168,120.5498,102.1312,89.0361,77.3907,47.1548,68.4061,40.6526,38.1758,42.0329,29.2549,21.9999,26.203,,,,
J,1,19,229.1831,140.7873,155.6564,88.2147,75.3407,10.4831,44.0218,55.6995,47.9082,39.4688,9.4037,7.5093,27.1202,21.6339,,,,
J,1,20,276.0082,205.2847,281.0694,195.9574,119.61,167.7843,184.4111,181.2502,185.4371,96.3623,120.2045,140.0764,124.4609,106.9832,,,,
J,1,21,156.533,84.0945,155.047,108.2449,167.7769,52.8227,116.4126,86.0505,62.001,135.4624,118.1615,94.8542,105.5812,134.393,,,,
J,1,22,30.0266,45.7431,41.5527,35.3587,26.1277,31.6201,10.4312,4.1433,3.113,45.0302,47.8078,20.2272,6.7225,37.4816,,,,
J,1,23,249.1048,172.2469,195.1559,180.5567,106.6387,108.6069,120.5413,131.3261,93.012,94.5794,68.4025,72.0532,67.713,48.0836,,,,
J,1,24,123.953,61.3967,87.6845,40.4214,55.3139,37.4837,35.4473,19.9193,16.3683,12.9345,5.1534,7.7872,1.4419,2.8486,,,,
J,1,25,301.5095,277.5145,339.3681,290.5711,317.447,235.249,106.5296,218.2518,97.5789,193.2966,223.3721,187.2288,189.7555,177.6699,,,,
A,2,1,-67.1545,-34.7375,-79.9665,-7.8511,-31.0923,-7.1716,-1.4109,-9.1543,-21.9596,-2.6362,-22.2241,-14.7235,-12.701,-8.6679,2.755,0.1174,-11.6971,
A,2,2,-14.1792,-19.2203,-14.5219,-2.3149,-4.2213,1.7973,-11.3822,-6.085,-0.9087,-2.6831,-6.8269,-4.2182,-4.416,-0.9961,-3.1224,-5.1565,-2.5512,
A,2,3,19.8494,10.0621,9.8627,7.2968,-1.9078,-2.8369,-4.0156,2.54,-5.5484,-1.9525,4.3492,6.4747,-2.2633,1.8402,6.0031,-1.4914,-5.7911,
A,2,4,-102.6152,-87.7248,-61.755,-49.2353,-16.7709,-45.7156,-45.0348,-54.5319,-94.5997,-42.2184,-54.13,-48.1518,-17.5929,-73.2087,-57.015,-29.6634,-26.5034,
A,2,5,8.0476,-41.1727,-79.9685,-47.1874,-46.5345,-23.4081,-18.9465,-86.9589,-28.5626,-44.9063,-41.4156,-49.1744,-50.9924,-70.6094,-54.2353,-41.4242,-33.5457,
A,2,6,-17.4521,-4.23,6.0121,23.9124,7.2647,15.3785,-12.8348,-1.2751,-8.7987,-9.601,-22.3535,-0.3619,-5.6792,0.2058,-3.4353,20.6322,-3.4724,
A,2,7,47.3966,21.2012,22.126,10.3576,35.5937,27.1046,9.9207,8.8955,8.1277,15.9726,2.5755,4.0479,-1.0731,-8.5731,-7.0039,0.2286,6.5438,
A,2,8,34.0923,-7.7442,-24.6485,0.7146,7.5231,-2.3119,11.7108,18.1947,12.604,2.6695,-0.541,8.1423,-12.0206,6.3018,0.3093,-2.916,-0.6264,
A,2,9,-27.1926,-36.6033,-29.9721,23.5699,-5.989,7.9806,3.6526,24.1856,9.1009,17.2133,11.2822,31.9649,38.5166,-0.0195,1.2455,-14.3792,-7.042,
A,2,10,-46.302,-37.7034,-35.6379,-20.3594,-9.1612,-34.3165,-9.2439,2.8996,-10.8545,6.7191,-8.7518,3.7127,-16.0555,-2.9341,-4.8306,-5.4771,-10.787,
A,2,11,-8.5349,-1.5881,-6.3399,1.6585,5.4509,-1.2987,16.9121,-0.8605,2.5699,-8.7383,-12.315,-7.1345,-3.7673,-0.2704,3.2864,-7.0351,-3.9899,
A,2,12,14.2305,15.5945,-1.8573,-8.5861,16.6221,4.6994,-5.6229,-6.001,14.4724,-1.2499,3.4199,5.754,3.9976,-0.7991,-1.504,-1.7357,0.6298,
A,2,13,-13.2883,-4.2544,12.9104,10.1915,-3.1744,13.3132,-2.9211,6.5203,11.1074,7.9802,2.3372,-2.372,-4.2998,-5.8278,-1.7842,-0.4111,-3.9667,
A,2,14,25.9776,17.8359,39.7487,1.5996,12.0511,8.3184,3.0549,9.8911,-1.9441,-0.1534,-12.1046,0.6843,-3.5941,-10.4434,-0.12,-18.4481,-5.9514,
A,2,15,13.7735,-45.7319,-19.7592,-29.6514,-13.7082,22.5678,-13.9787,-11.8462,-9.2543,-1.8798,-0.5027,-3.6154,-13.6664,-10.7732,-6.7617,-5.0939,2.076,
A,2,16,-91.4528,-141.8946,-200.5099,-161.237,-117.4652,-181.9343,-146.2106,-180.297,-181.5257,-100.0009,-110.3194,-111.6483,-154.6477,-139.9688,-131.3456,-188.6658,-125.6073,
A,2,17,-21.9002,-37.2547,-37.5053,-61.8153,-34.6855,-4.4872,-11.176,22.8797,-7.138,-12.5533,-38.0808,1.625,-13.6758,-15.5405,-26.873,10.7853,13.0442,
A,2,18,28.28,-6.6345,2.7373,2.7225,-13.2231,-7.8939,-5.4215,-0.4141,1.9502,4.6314,-0.2469,-2.6282,-1.079,-0.6905,2.6757,-0.0971,0.9564,
A,2,19,17.6911,-0.9352,28.71,16.1301,-1.9684,8.728,3.0471,-3.5562,12.8661,13.8092,3.1096,6.4038,3.2391,0.9261,1.1161,5.4404,13.3015,
A,2,20,-100.1236,-91.0261,-80.936,-40.0327,13.8597,-27.6517,-24.073,2.8948,-25.4614,-70.6507,-22.166,-19.5981,-19.4688,-10.8098,-37.4931,-18.9942,-20.1061,
A,2,21,-140.0024,-124.8712,-124.2564,-105.131,-98.8983,-128.2202,-102.435,-101.3151,-108.2764,-106.2695,-84.28,-95.4786,-56.4951,-111.6327,-70.7294,-42.7663,-58.714,
A,2,22,-15.3553,-12.9674,-4.217,2.4627,10.4156,-1.3063,-8.9107,8.4726,-22.5345,-6.7944,-1.732,-1.3294,-4.5092,-0.2765,1.7328,-22.0677,-5.92,
A,2,23,37.3596,22.6269,4.6211,15.8944,3.0779,-9.5535,14.2074,-5.8165,1.9647,5.1216,-0.4591,-2.3478,2.3715,2.0223,4.2744,-8.4211,1.9461,
A,2,24,36.4156,22.3657,4.2218,30.1118,10.8696,-9.0236,-4.895,-7.4728,-3.7758,-2.0303,4.9502,0.8042,11.3792,5.5057,-3.0776,-11.605,-2.2829,
A,2,25,-34.3369,-38.8499,20.0522,32.165,11.0481,-5.4816,23.0447,-3.2251,-2.3545,-35.0362,-49.3346,-6.7363,-21.2917,-6.4459,-4.7109,-22.7474,-10.8962,
J,2,1,127.4646,-69.6148,141.948,4.0701,148.9479,75.8925,3.8394,2.326,77.9897,28.8489,27.5648,60.3883,20.8179,42.2015,4.0082,-2.4181,35.2597,
J,2,2,-5.6879,24.1402,40.8364,27.0544,31.2259,-11.2866,8.2822,9.6465,-1.4906,-5.5502,17.1813,3.5327,1.6057,-2.9343,4.1393,5.0933,-5.7056,
J,2,3,31.9299,42.9821,26.8144,26.6786,-0.1033,4.6519,17.3908,10.4445,7.4665,11.2677,24.4907,-8.6897,16.6843,24.4507,-1.6924,-13.745,4.3564,
J,2,4,-74.0036,-22.7766,1.0171,8.2028,-68.3785,-17.338,-37.35,-144.6866,23.3916,-36.0718,-64.5854,60.8974,-164.9678,-39.0422,-50.1195,-20.3694,20.8823,
J,2,5,-73.1117,-157.8597,-4.9767,-76.2524,22.5652,-35.2445,-171.309,87.6017,-101.1727,4.1582,-62.6523,-34.2902,-111.0866,-44.0995,-49.1671,-48.0115,-78.211,
J,2,6,119.7016,143.9216,135.8373,88.3866,80.5567,50.5418,66.079,19.8512,33.6094,19.101,65.6033,27.3112,47.7418,20.2463,62.2149,-3.29,24.1296,
J,2,7,225.8314,156.6606,108.4198,164.5029,79.7833,61.1697,84.1932,79.5718,70.418,49.3628,54.9933,14.4056,7.5147,0.1033,23.123,20.8692,19.8801,
J,2,8,60.8387,98.4876,114.4185,77.3018,57.454,62.1071,88.3131,58.16,8.2702,22.0558,69.4314,-17.3744,36.2789,18.5998,24.2309,8.2023,37.4112,
J,2,9,74.0476,92.0487,172.2353,12.1918,137.9959,92.3555,73.0663,45.2105,81.3208,61.9578,57.8413,144.88,30.6734,53.1393,16.0225,13.9202,49.9811,
J,2,10,2.9231,9.7439,15.5979,40.0158,-42.5814,9.0424,45.493,6.2503,43.3373,-12.2811,45.3813,19.6833,26.7426,4.4481,5.7951,-13.3318,-17.2591,
J,2,11,30.3079,-5.3427,38.1866,31.0517,4.6356,77.7535,-3.1023,45.0909,2.2318,-16.2879,-0.5212,-1.383,7.6931,14.1105,-4.2008,1.5465,-10.8924,
J,2,12,86.5616,42.8666,63.0706,79.1033,33.4677,2.2494,23.9169,75.6258,-3.0992,24.3597,24.2122,14.7994,19.5379,22.9793,1.5442,8.1961,-7.4536,
J,2,13,36.2359,87.2321,91.5345,57.2688,55.1429,8.7503,60.338,33.3069,31.2506,23.9862,-1.0941,0.3945,2.0688,17.8271,21.8529,4.4055,-4.4404,
J,2,14,126.9553,243.8544,179.9564,188.5677,98.2414,42.786,132.7591,98.2226,23.3746,19.9984,78.5537,43.5344,13.6593,34.228,22.0878,27.5526,49.6978,
J,2,15,-92.2008,13.5204,2.3045,8.4707,90.9204,-40.2988,4.4065,-8.9275,48.2939,0.2492,-30.594,-6.7962,23.7602,20.6154,16.0961,24.8091,16.3437,
J,2,16,-247.3782,-306.8586,-218.9504,8.0531,-213.6487,-93.8776,-242.9776,-165.1296,-20.1451,-133.2485,-84.0971,-157.7356,-145.4871,-118.1605,-257.8251,-100.349,21.4232,
J,2,17,91.8598,57.1167,6.828,89.5782,106.2958,29.5746,108.0022,42.8385,62.5577,-14.2876,89.6338,5.1798,6.5815,-5.6851,66.6283,53.088,14.1822,
J,2,18,103.4997,128.9826,69.7178,32.7042,27.8326,40.5285,29.7242,22.5625,29.7354,0.3499,0.9795,-1.0237,1.5974,7.7722,2.8225,2.9357,-0.0487,
J,2,19,179.6322,206.51,165.4167,114.8136,104.5608,66.4086,87.9858,86.8225,68.03,47.4815,23.4348,52.3094,20.1682,8.592,31.0386,35.6865,3.7189,
J,2,20,42.5055,-64.6572,33.2115,86.3034,-3.1259,-6.6245,131.8939,-21.1049,-93.4879,65.7211,-11.6061,32.6663,3.1695,6.2736,75.631,39.8558,2.0993,
