Age,Trial,WMD,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
J,1,10,6.75936,147.10592,19.6384,133.89056,39.80352,94.4848,85.69344,60.24448,29.75552,67.20128,13.66848,23.1472,24.88416,-23.16544,11.63296,,
J,1,11,46.64608,81.22784,-38.40064,91.21536,43.61344,-13.2272,103.41728,-11.43104,-8.90464,34.616,24.504,58.85152,33.36256,14.85024,24.07584,,
J,1,12,-2.05408,54.99488,131.12704,31.02144,17.92,21.62496,65.56416,35.7104,38.04224,19.38048,-22.36832,67.42208,21.64896,33.79872,48.22656,,
J,1,13,72.27328,87.53152,-21.31424,126.86176,64.27072,67.52608,83.96896,-13.38944,27.68352,83.8512,12.33408,-51.89888,28.5728,58.1024,57.24864,,
J,1,14,111.75104,52.32288,109.81312,-8.59264,59.52864,27.25472,-48.59424,107.83712,5.63616,53.0384,76.54688,-18.04768,70.01248,37.40832,84.50752,,
J,1,15,23.85184,35.6512,53.48768,82.54048,97.06464,62.89984,23.00288,17.74912,42.9408,35.69408,-11.864,25.36128,26.55104,45.31392,36.75072,,
J,1,16,209.1168,143.15264,90.01056,137.67936,57.71936,31.61728,114.32672,7.58784,52.43488,48,14.55264,55.31744,21.75552,27.68864,31.21088,,
J,1,17,129.76,313.30656,84.17344,165.27392,11.05568,252.37568,116.75552,37.43424,52.75904,27.9968,7.16896,29.15424,1.7488,12.87904,-43.94464,,
J,1,18,61.78144,243.5056,97.97856,180.024,12.67584,165.9328,94.0768,72.13312,45.00544,38.5152,103.016,-20.4448,43.11968,18.4688,13.65504,,
J,1,19,204.21088,249.58944,188.02464,207.39392,103.08704,123.10656,82.72448,33.45568,-3.70272,64.70272,58.81248,10.48384,28.98624,16.33408,55.6752,,
J,1,20,-39.13152,27.93088,124.832,98.90944,78.23168,22.25088,51.46304,-28.65856,-21.86688,-2.1376,-13.76512,1.1952,-19.0128,10.04384,-8.21024,,
J,1,21,110.08128,271.95424,43.9648,109.73248,109.86528,60.83456,109.2432,61.91936,20.55936,-10.59936,85.71136,48.07072,43.22848,42.59776,22.20416,,
J,1,22,-33.0736,243.752,50.45504,111.2976,10.95552,106.84512,59.06208,55.60288,34.54656,40.06816,78.03552,84.00864,49.42176,29.728,3.91456,,
J,1,23,177.82816,202.87008,159.04544,62.312,34.92192,144.0144,96.33504,36.04032,30.9776,45.29728,52.57888,16.37248,68.75104,66.86624,21.29664,,
J,1,24,167.04768,394.93824,211.46048,273.0912,250.2144,96.29248,117.43808,134.61824,92.57728,65.3616,86.9872,72.00672,72.40992,71.25536,98.71968,,
J,1,25,115.47776,285.23136,167.58304,159.14336,173.8016,125.60416,62.26496,134.4704,35.47648,67.11072,100.18912,18.31584,19.28416,32.85216,-0.41088,,
A,2,1,74.96896,16.38976,28.05632,30.62016,34.0384,3.17856,43.62464,12.14848,8.86272,6.29984,-0.61504,-11.09376,-0.41088,-11.77504,3.8176,12.7424,-2.02784
A,2,2,-8.77056,9.0544,41.87424,7.6976,21.02336,8.68864,15.36768,-1.31552,15.04384,-8.17952,-0.92608,6.15904,3.4912,5.03968,-4.87616,-1.19808,-2.15808
A,2,3,26.92928,18.43968,-6.94144,-12.37376,12.26432,8.43072,1.93792,-18.24704,-8.91264,-10.62816,-10.65632,6.0896,11.72128,1.02816,-4.64512,1.72832,-2.03072
A,2,4,11.42048,10.224,4.31136,1.86976,-19.96192,-14.86752,3.19488,14.8576,1.68384,6.82304,-2.93408,0.67648,2.61984,-1.05696,-6.70112,3.22368,3.78304
A,2,5,-0.53632,0.10528,12.06176,25.67392,20.9104,-2.43488,1.73696,6.33824,9.82176,14.08832,3.76832,-6.40352,3.368,9.8976,-2.01312,-4.86816,-0.8992
A,2,6,-85.84512,-49.6128,-1.70208,-8.58144,-9.02944,-7.80928,-19.97536,-5.232,-22.3312,-17.18368,-32.74016,-26.90848,-13.3984,-2.12,0.28192,-7.3648,-18.02784
A,2,7,-38.43616,-61.2288,-0.98464,1.08,10.10592,-8.76384,12.07616,11.19968,6.37856,-12.56864,-10.04544,5.81024,6.18944,-0.048,-12.03872,-0.10112,-7.10464
A,2,8,-29.05728,2.30208,39.77536,33.63488,3.8496,-16.65856,18.24256,15.01984,-13.52256,-18.54016,-9.86784,-2.2288,-14.84608,4.57696,-4.4896,-1.8688,-2.37504
A,2,9,-3.26304,-10.48224,3.33472,-5.0368,-10.4608,-8.62688,-2.6336,0.1552,-2.74912,4.5376,0.04384,0.20224,-3.60576,1.49536,2.1904,4.12224,-2.44832
A,2,10,17.15616,-18.0944,-3.09888,-22.9744,-31.83392,13.13728,16.70752,10.65472,5.20896,2.12832,-12.36544,-4.6096,-29.25888,7.48992,-3.77728,0.03392,-8.40288
A,2,11,-273.69088,-154.96928,-131.43104,-120.72768,-60.528,-79.3232,-35.09472,-4.03168,-107.09888,-82.2784,-97.87712,-112.19072,-97.73504,-55.992,-56.48544,-50.90912,-105.98976
A,2,12,-42.76864,11.63808,-13.8,-3.99136,-18.11648,-32.68288,-26.2512,-15.46208,-24.32256,-32.98048,-26.49728,-26.4272,-43.49376,-21.94176,-18.53984,-19.904,-24.99936
A,2,13,95.76096,-0.17088,-2.90752,40.02656,56.19552,33.90048,38.10496,19.04256,24.89088,21.4032,4.78784,11.76128,7.73536,15.60288,2.18112,-3.62976,11.98624
A,2,14,-17.95168,-18.00544,-5.6448,-47.40224,-36.99136,-27.39168,-12.58304,-4.78688,-2.96352,-22.78944,-16.6912,-29.08448,-17.23968,-5.71168,-13.296,-0.12768,-10.38048
A,2,15,-162.464,-109.82912,-151.44,-94.10144,-79.81504,-82.69792,-74.86848,-81.12992,-17.75104,-31.232,-60.03616,-75.31776,-49.32512,-92.28224,-88.35104,-63.00928,-28.43808
A,2,16,6.59264,7.02208,-4.832,-20.21216,5.64288,-26.19456,-11.53088,-14.64544,-24.08832,-6.72992,-12.91104,-20.5392,-38.83104,-24.34656,-9.34176,-2.89248,-5.98784
A,2,17,-8.27776,-14.896,13.10688,3.56704,-27.60928,10.57248,34.3472,28.76448,-20.65888,-9.53824,9.0448,-9.83488,-18.13344,5.37536,-11.63104,4.58944,22.22336
A,2,18,-36.71008,-35.5232,-26.23264,-15.53952,-6.08608,-10.91936,-27.53184,-20.60704,4.0336,-6.64288,-37.7664,-32.66784,-11.47552,3.63712,0.46432,-0.99104,0.096
A,2,19,-4.20128,-25.63808,-19.24096,-39.384,-30.0864,-22.34432,3.29888,15.448,-15.48928,-6.10144,-17.21856,-31.56192,-23.0096,-7.34624,4.17856,14.85856,11.65504
A,2,20,-38.448,-16.99168,-13.49376,-8.62112,-12.0384,-11.36768,-20.76576,-6.12,2.05984,-6.40992,-8.16448,-9.30016,1.39136,0.42624,-1.2736,1.05696,-1.22464
A,2,21,-1.07552,-8.59424,-16.2528,1.4496,8.33824,4.0032,1.79328,-11.90784,-4.26848,-7.96896,-9.6608,-0.57952,-3.3104,-1.73088,6.496,-8.88288,-10.58816
A,2,22,-69.89088,-35.34016,-50.11872,-41.30144,-53.72,-40.76864,7.76032,-30.31488,-14.51008,-8.04384,3.40512,-28.65888,-4.04224,-12.64544,-6.79936,-11.03552,8.39392
A,2,23,-258.91424,-219.39392,-207.70464,-150.83744,-149.78144,-162.88544,-113.66112,-140.50336,-127.12672,-145.5936,-136.07936,-109.16992,-90.58656,-97.25888,-107.68,-113.3264,-99.19488
A,2,24,-352.2384,-245.73056,-219.54688,-240.29728,-187.84672,-227.18208,-186.58656,-268.15456,-215.53504,-215.45504,-217.49376,-285.45632,-195.55392,-162.66656,-175.19232,-216.21632,-135.34816
A,2,25,-81.13248,-62.48256,-65.88032,-38.6688,-50.95808,-11.56992,-22.3744,-39.0176,-32.20224,2.53568,-6.00384,-10.89056,-5.6816,-14.50304,-12.44256,-0.81664,-13.39328
J,2,1,387.8432,330.28864,295.56544,270.55648,202.42944,270.24672,99.36448,181.64576,99.60064,75.73536,25.95488,37.13984,48.57696,48.55296,34.06688,25.61536,27.49664
J,2,2,109.05824,172.27136,108.07072,140.27872,64.10528,52.99424,30.42848,49.01344,6.0704,33.78976,28.9104,7.61248,11.98592,3.90976,21.47456,3.44352,5.50624
J,2,3,180.65344,59.5904,61.48224,78.70432,34.77088,56.7616,-0.8288,44.25536,21.81984,1.27072,37.65376,29.94912,11.91904,11.52608,19.74112,-1.68064,14.10048
J,2,4,280.69568,114.4128,191.36672,98.48384,71.84928,84.35936,124.01248,64.496,51.35712,16.4752,27.44928,18.33664,18.86272,25.6752,25.20864,24.84512,18.67968
J,2,5,214.31392,46.3488,124.4224,76.4576,43.97824,67.7744,41.00608,18.07712,51.93984,30.38016,11.88192,28.02336,28.5056,17.17056,8.83648,7.544,5.14496
J,2,6,175.33472,329.6816,130.70592,186.4688,142.16384,126.33888,81.69248,47.896,84.59456,38.7696,40.99232,72.57984,69.57568,58.82432,7.37408,21.8592,8.06176
J,2,7,26.52224,134.83456,105.01216,112.40288,53.89824,98.1296,72.79776,41.60256,18.5104,28.2416,63.60064,40.74656,9.32608,28.9344,44.77472,11.51488,-0.72512
J,2,8,93.90528,329.9568,168.00224,182.04064,125.10176,164.11328,95.40256,56.00736,51.68224,67.06624,48.44384,43.23648,43.44704,22.45248,27.64736,4.9024,37.40832
J,2,9,9.5968,40.60544,15.176,30.48736,-1.384,15.88064,15.19712,15.216,35.30304,-2.22656,13.75744,6.47072,20.60064,18.31424,0.89632,3.36832,-0.10784
J,2,10,46.9424,298.55488,140.58688,186.90752,175.12704,152.53664,122.88544,73.25728,80.98816,68.92064,83.23456,26.78688,69.9552,50.36864,51.96544,23.3376,22.15136
J,2,11,-5.87296,148.2032,22.27488,114.08576,66.20224,238.92,132.95904,-48.65664,73.52704,64.6048,37.45248,39.2272,98.64704,66.53184,84.61568,4.10016,96.12704
J,2,12,268.25792,206.09344,225.59648,190.79456,129.49952,101.0352,87.10176,90.0336,67.98272,45.59712,46.85984,29.95936,60.3696,35.12288,19.6192,16.3136,52.72224
J,2,13,311.46496,403.58368,400.54112,318.6144,227.7408,262.38752,191.10496,183.40192,114.0608,92.30848,132.40768,80.74272,95.74176,36.88352,60.0848,56.86944,47.36928
J,2,14,15.45792,19.09344,-3.55168,11.92928,13.4272,32.8912,32.12224,30.58624,-22.61056,5.2576,-11.91968,16.39008,12.52992,3.33568,48.84,-13.39904,40.42528
J,2,15,-9.14304,72.8848,80.13184,128.31488,77.4832,73.05088,28.36544,144.5216,64.78656,40.384,41.64352,85.37536,-34.97792,29.22048,25.0112,85.32,93.62976
J,2,16,89.69952,0.4384,33.53088,45.3184,-23.6704,66.65728,28.84608,9.65952,18.77248,11.8592,0.51968,-34.78496,12.14784,73.08032,57.28096,20.576,36.75072
J,2,17,134.68704,138.27744,108.33888,61.08128,150.24992,155.04544,149.42784,57.62144,50.16032,107.64064,24.39072,29.95712,72.72224,24.58112,78.79552,70.46048,13.47168
J,2,18,136.1456,135.80288,70.78784,107.66784,79.41696,44.83232,34.64448,96.41088,11.89216,10.43808,10.44384,34.85696,54.71808,52.47616,24.34528,23.17472,6.30656
J,2,19,28.67808,176.10592,100.4496,124.89824,81.0976,105.82368,98.4704,70.22336,80.27168,50.74464,37.6752,22.65504,61.57952,77.23168,48.33472,33.42624,15.43168
J,2,20,29.48032,97.04064,33.25152,54.6704,55.86368,35.02272,31.98432,29.81312,17.20608,26.27008,12.94944,12.80672,12.62176,9.12992,9.22656,0.9536,5.52288
J,2,21,17.35552,-1.17248,44.93312,27.27424,41.96064,11.07936,6.07872,13.34432,6.60544,10.0288,11.60704,-6.14016,9.2912,13.94784,-13.8144,-2.9312,-1.62912
J,2,22,0.44352,130.70368,-4.73376,72.40704,66.8384,111.6848,-9.86624,58.99776,93.22016,91.24576,4.85696,88.5936,65.21632,64.39136,19.79648,43.92608,76.7392
J,2,23,-33.2016,63.02848,126.72192,19.34784,-30.36768,59.72288,4.07008,94.85408,-7.92992,64.12512,88.71712,12.77888,-20.2768,3.2144,6.74144,34.8432,79.55936
J,2,24,-67.78944,-16.9984,-127.98592,79.22688,-0.41664,55.21856,-177.60992,-45.56576,-5.86496,-8.23936,-187.52832,-2.78688,-23.20128,-23.66496,-147.05792,-8.8112,154.82848
J,2,25,232.13248,380.0704,237.33728,247.3376,209.2048,168.94656,112.59936,115.87136,163.41568,91.1872,64.08448,84.11392,45.84128,36.70432,50.86048,47.888,35.89696
A,3,1,-16.32768,22.99456,-18.7568,4.14208,20.63968,67.3216,36.8656,-8.70432,0.1312,13.176,3.3792,-5.24128,27.21536,7.8976,2.39488,10.46848,
A,3,2,90.01024,12.06304,-9.79616,-2.15296,10.72928,22.664,11.95744,18.77536,4.2208,10.40288,-5.11264,-0.52608,5.98016,6.31808,-2.71744,-3.17536,
A,3,3,87.80096,12.22144,-23.36736,32.6928,52.56704,9.10048,23.77888,-1.86208,10.048,-0.45504,0.2864,-0.7952,-6.02112,-3.92896,4.7056,3.75968,
A,3,4,-38.65984,-31.58624,30.82592,16.6768,25.97824,43.41696,18.57536,-13.27104,10.24928,3.24416,4.28704,5.65312,-2.89472,0.93696,-2.93152,6.4416,
A,3,5,-37.4784,-7.08064,-51.57216,-20.27232,-5.66048,-10.22688,-6.51872,-25.72384,-3.59872,-18.12608,-12.7008,-11.48,-3.81152,-14.4016,3.10144,-1.8224,
A,3,6,-122.28288,-57.4688,14.24832,10.1296,19.9488,-44.81408,-39.68832,5.2704,8.44224,36.71232,-12.08064,-9.98816,-17.74784,7.33952,-15.49088,2.6816,
A,3,7,106.63904,46.30112,-1.08832,2.3232,43.48352,29.80256,19.208,34.86368,15.34176,17.8,8.81824,-3.1152,2.41344,-10.02976,-2.08928,6.80384,
A,3,8,7.26272,3.82208,-5.53216,0.35552,-3.1696,2.9616,4.25792,-0.9232,-1.59552,-0.33184,-2.6288,-2.2624,-0.24992,0.53856,2.5376,-0.43616,
A,3,9,-16.00672,-12.93472,10.968,-1.80416,1.46336,8.44832,20.89536,23.08544,3.39712,5.97504,-2.464,5.71104,3.91584,-5.55552,-0.63168,1.68224,
A,3,10,-99.60128,-67.49824,-71.9808,-43.03936,-19.56608,-20.69024,-13.08032,-27.04128,-17.05088,-19.82272,-17.81856,-13.2272,-21.72448,-31.55456,-11.5616,-1.7008,
A,3,11,-7.99616,-3.93568,-8.12576,-26.08448,30.95552,29.68288,3.04576,12.25184,17.96832,22.09344,28.56736,6.77504,22.72128,6.56352,-14.75808,-11.8768,
A,3,12,54.85056,9.4768,28.2128,23.10656,-2.07936,63.87872,14.51168,5.58656,7.26688,10.256,12.21888,21.63008,15.2976,11.57888,-8.88704,4.34944,
A,3,13,145.2512,76.91232,21.26112,35.77216,51.0928,46.12256,53.0256,49.59264,-6.15712,14.99744,22.8768,13.08512,21.80064,19.02336,-6.07552,3.57952,
A,3,14,42.2608,-7.73824,3.4336,3.53344,5.84288,11.32032,1.94784,-1.40096,-0.8976,5.88544,2.99168,8.34816,2.63456,-0.99552,-0.61536,1.87712,
A,3,15,-16.35296,19.86112,13.7696,28.93504,6.544,-9.72576,8.77984,2.2768,18.824,-22.07296,2.0544,0.05024,-9.54912,-4.37472,5.42016,-3.27136,
A,3,16,-8.70208,30.6624,-20.98624,16.54464,34.42848,42.2832,25.44768,31.93408,10.31488,13.46912,10.88704,-6.99168,5.72288,16.24288,9.1552,2.26816,
