Age,Model,Trial,,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
J,M,1,9,321.28416,257.96608,308.69984,278.19328,259.37248,192.18912,234.25568,204.53312,163.1824,227.72544,260.18784,129.51776,177.93056,121.13248,151.70592,156.37376
J,M,1,10,164.42688,232.58848,97.93888,214.87872,200.51648,138.75008,102.21184,143.69184,90.88896,171.9168,73.09408,96.51584,55.65792,106.26016,136.7136,140.05536
J,M,1,11,-147.49632,-223.7808,-128.94496,-214.77216,-190.20864,-415.96832,-321.56768,-223.23712,-464.74304,-394.72992,-203.1952,-475.78656,-453.46272,-415.69696,-416.63744,-323.20192
J,M,1,12,-44.67904,-12.528,94.45472,55.2512,53.30016,-102.50976,133.61088,-39.0432,-64.55392,40.08224,-145.91616,65.73152,-31.88288,31.21472,178.208,137.98848
J,M,1,13,197.55712,414.23168,250.70496,314.95328,305.00032,243.32192,104.25696,272.52768,172.93568,169.4176,101.94304,268.28,192.51648,162.34016,231.52384,186.58144
J,M,1,14,-18.28608,105.99744,113.12416,74.7536,109.21632,91.3088,81.72032,86.6912,-8.44704,116.5408,97.00032,73.72064,136.31168,145.76832,106.2384,115.984
J,M,1,15,-47.624,-223.42784,-71.23456,-92.30304,-334.32704,-26.88512,10.67712,-41.96064,-294.98016,-156.76064,-165.78016,-229.04608,-260.29024,-152.88032,-306.0944,205.51136
J,M,1,16,38.81248,-19.12448,86.064,28.10112,1.51392,49.536,93.85056,45.03968,-13.6496,117.408,69.95328,-68.37312,125.91136,96.2768,113.25312,60.87232
J,M,1,17,40.896,69.79328,-13.23744,74.74528,87.36512,-13.86784,126.08896,116.38208,50.08832,48.8576,38.5024,57.8784,42.9456,41.91872,83.3072,150.3568
J,M,1,18,106.34656,124.1616,92.4672,258.75936,129.93568,170.1872,149.47264,111.31456,46.7488,99.3504,152.46816,70.37664,81.75008,103.67456,106.31488,88.63264
J,M,1,19,185.23456,263.32832,177.5248,229.9008,176.98944,167.2288,233.27456,141.55264,215.13632,110.52,108.5984,189.22816,185.41024,245.0784,209.6784,231.072
J,M,1,20,143.10144,-9.43872,156.89664,23.90432,137.58656,-8.8848,121.11488,36.99488,41.39776,105.31808,65.36448,43.03904,35.30144,118.40064,75.568,100.24864
J,M,1,21,162.04672,68.91168,205.48448,135.73216,5.64864,63.12544,243.51424,96.2192,95.31744,34.74944,170.40352,136.42592,121.24992,162.25504,193.8544,122.5712
J,M,1,22,-99.31456,58.48736,-129.96448,32.80448,13.928,23.55488,32.50592,-16.57024,-9.70048,-50.95424,69.22208,127.28896,8.4304,80.36928,78.69472,97.928
J,M,1,23,-44.36352,91.7216,39.81568,100.79968,-34.37408,9.43648,61.08096,-20.53536,-136.11232,116.86656,-80.25088,-76.88128,-56.44,79.9808,-78.96992,150.07584
J,M,1,24,-256.8736,-225.6128,-381.59328,-387.48128,-398.45888,-400.86176,-203.07168,-318.26496,-526.61568,-472.98432,-462.952,-485.18208,-710.248,-565.32864,-431.36256,-754.80608
J,M,1,25,-18.4672,94.00096,16.85024,-66.48928,-36.4368,-43.24896,7.58656,139.94016,-42.55328,25.25888,-32.92544,65.5808,10.3728,45.26272,98.16352,6.19904
A,K,1,1,-368.70144,-247.2944,-319.33504,-283.99104,-290.90336,-298.17312,-345.96832,-326.7696,-361.19552,-418.6896,-389.1568,-393.1712,-429.80384,-451.66592,-439.72832,-432.712
A,K,1,2,-18.22176,37.6704,-31.39296,23.7392,2.25568,26.09952,2.26656,25.69888,30.1504,3.24672,5.30784,26.50528,-0.6848,23.17056,39.92448,56.49984
A,K,1,3,298.74784,209.51264,175.65504,126.38848,121.10368,104.14208,82.22304,81.78432,70.40192,47.1984,55.5552,48.75616,51.28288,16.64544,30.5056,7.53568
A,K,1,4,34.6848,153.58752,70.48448,132.43328,80.97984,77.44512,66.944,67.3088,59.90784,46.17536,32.95072,40.99136,29.85504,28.6896,34.19616,41.65504
