Name,Estimate,Year,Age,Trial ,Model
Bias,0.030228201,5,A,3,M
Bias,-0.003514203,1,J,3,M
Bias,0.006606825,2,J,3,M
Bias,-0.012737377,3,J,3,M
Bias,0.009381528,4,J,3,M
Bias,0.013376725,5,J,3,M
Est,0.266033307,1,A,3,M
Est,0.228383319,2,A,3,M
Est,0.199204564,3,A,3,M
Est,0.229457767,4,A,3,M
Est,0.198585358,5,A,3,M
Est,0.136847536,1,J,3,M
Est,0.1157336,2,J,3,M
Est,0.099916865,3,J,3,M
Est,0.116301532,4,J,3,M
Est,0.099526501,5,J,3,M
Bias,-0.024873733,1,A,3,D
Bias,-0.033280815,2,A,3,D
Bias,-0.020326322,3,A,3,D
Bias,-0.033530519,4,A,3,D
Bias,-0.033951258,5,A,3,D
Bias,-0.042948991,1,J,3,D
Bias,-0.030025319,2,J,3,D
Bias,-0.045957738,3,J,3,D
Bias,-0.031639915,4,J,3,D
Bias,-0.025676892,5,J,3,D
Est,0.325343216,1,A,3,D
Est,0.286089804,2,A,3,D
Est,0.253582673,3,A,3,D
Est,0.294310807,4,A,3,D
Est,0.262764817,5,A,3,D
Est,0.176282324,1,J,3,D
Est,0.152365744,2,J,3,D
Est,0.133137225,3,J,3,D
Est,0.157322975,4,J,3,D
Est,0.138580118,5,J,3,D
Bias,0.144198656,1,A,3,I
Bias,0.098115972,2,A,3,I
Bias,0.077632556,3,A,3,I
Bias,0.087226161,4,A,3,I
Bias,0.063781561,5,A,3,I
Bias,-0.005200852,1,J,3,I
Bias,-0.014764868,2,J,3,I
Bias,-0.050742925,3,J,3,I
Bias,-0.028302307,4,J,3,I
Bias,-0.033402243,5,J,3,I
Est,0.156270827,1,A,3,I
Est,0.154693017,2,A,3,I
Est,0.155623795,3,A,3,I
Est,0.173554127,4,A,3,I
Est,0.165031999,5,A,3,I
Est,0.138534185,1,J,3,I
Est,0.137105293,2,J,3,I
Est,0.137922412,3,J,3,I
Est,0.153985367,4,J,3,I
Est,0.146305469,5,J,3,I
Bias,-0.04470863,1,A,4,K
Bias,-0.026409815,2,A,4,K
Bias,-0.016398126,3,A,4,K
Bias,-0.050884558,1,J,4,K
Bias,-0.03898083,2,J,4,K
Bias,-0.027304139,3,J,4,K
Est,0.299094595,1,A,4,K
Est,0.295026836,2,A,4,K
Est,0.245097678,3,A,4,K
Est,0.15841144,1,J,4,K
Est,0.156002106,2,J,4,K
Est,0.127304139,3,J,4,K
Real,0.254385965,1,A,4,Real
Real,0.268617021,2,A,4,Real
Real,0.228699552,3,A,4,Real
Real,0.107526882,1,J,4,Real
Real,0.117021277,2,J,4,Real
Real,0.1,3,J,4,Real
Bias,-0.0501246,1,A,4,L
Bias,-0.029043491,2,A,4,L
Bias,-0.019795053,3,A,4,L
Bias,-0.053951557,1,J,4,L
Bias,-0.040374553,2,J,4,L
Bias,-0.029108732,3,J,4,L
Est,0.304510565,1,A,4,L
Est,0.297660513,2,A,4,L
Est,0.248494605,3,A,4,L
Est,0.161478439,1,J,4,L
Est,0.157395829,2,J,4,L
Est,0.129108732,3,J,4,L
Bias,-0.000781943,1,A,4,M
Bias,0.006283855,2,A,4,M
Bias,0.012408647,3,A,4,M
Bias,-0.032176405,1,J,4,M
Bias,-0.02683038,2,J,4,M
Bias,-0.016884817,3,J,4,M
Est,0.255167908,1,A,4,M
Est,0.262333166,2,A,4,M
Est,0.216290904,3,A,4,M
Est,0.139703287,1,J,4,M
Est,0.143851657,2,J,4,M
Est,0.116884817,3,J,4,M
