"WMD","2014","2015","2016","2017","2018","2019"
"5",0.096782044359179,0.0704494227857392,0.074521750347156,0.0870973834852522,0.0774443251602927,0.0904748822660297
"6",0.0607618721945936,0.0964572729112974,0.0664039783777209,0.0519826933134781,0.0595639128503192,0.0471069279587541
"7",0.082379785585957,0.0710123322021577,0.104341475510787,0.0746660812391952,0.0572172389099148,0.0838220172104299
"8",0.0757652508020185,0.0515405061730678,0.0877823043336232,0.055074628163994,0.0580662770717292,0.0746720915604391
"9",0.0874153400226508,0.0623371705816011,0.083847822767495,0.0818778065037276,0.0685415563647807,0.0646911344101774
"10",0.0888051869044153,0.0637018863221384,0.0653990472833375,0.0718582635094848,0.074849923867182,0.0755319589227841
"11",0.0935709382827841,0.0807904091366354,0.0877259181050163,0.0661961355693022,0.0884889506249189,0.0639839752020095
"12",0.0592530207963502,0.0663393949915937,0.0759364906107833,0.068346854386245,0.0389345329814482,0.0639054389693607
"13",0.0723099516989635,0.0716624188256749,0.0677549327942296,0.0553214837851411,0.0688019556704969,0.0586547138765055
"14",0.0757595631399926,0.0759694842562584,0.0819383263198499,0.0923502307340579,0.0709042944695772,0.0699486084806065
"15",0.0629550763602335,0.0702715160703162,0.0819276644539075,0.0528495081439641,0.0590720092954261,0.0619163695208895
"16",0.0736002690112508,0.0600919620777564,0.0776817782696175,0.0749235186297421,0.0641755433695036,0.0595216359076329
"17",0.0687005018435355,0.0635211570470093,0.0845237952056557,0.0697875912548478,0.0656474604615436,0.0533683595731257
"18",0.0738503737674145,0.0649589655706215,0.0873987757365222,0.0578157380347788,0.0706435484079088,0.0551703035386428
"19",0.0884769425880171,0.0629206998490874,0.0603604949706292,0.0849768547136686,0.06865699710358,0.07487869577339
"20",0.0781482006338067,0.0747710666030765,0.0735971437476834,0.0745605037465306,0.0569671148151643,0.0716846884659151
"21",0.0677932433001122,0.0674951844142482,0.0699003310469595,0.0621752667668765,0.0612037407343332,0.0574712748736102
"22",0.0682093741833973,0.0489728175854748,0.0787219208940901,0.0698688730109182,0.0681972533801745,0.058681673733198
"23",0.0725211894153546,0.0550856484463048,0.0868203182327584,0.0704244974869499,0.0751747416079991,0.0613304829679887
"24",0.0726172274803969,0.0898758999458572,0.103741858643455,0.0576135406780432,0.0587527816065014,0.0723923578831018
"25",0.0523526082741593,0.0421982778561413,0.0619396522762044,0.0525301434251995,0.0449514895317997,0.0376441052238704
"26",0.068897195929052,0.06541899983022,0.0839037727480247,0.0673496672283063,0.0578911090477965,0.0457404194966462
"27",0.0713961625662795,0.074845638989469,0.0678154515521901,0.0476712238677807,0.0673099201876013,0.0590903784065505
"28",0.0749312734146717,0.0582682360960689,0.0944425938929198,0.0717462847599158,0.0540182276437884,0.0762629277857851
