"WMD","2014","2015","2016","2017","2018","2019"
"5",0.236210250417805,0.141249800760742,0.151803729617569,0.172847195155186,0.147915204014776,0.176163546587671
"6",0.0969516147358823,0.170230123231919,0.151675666788227,0.123594884653847,0.182456178540152,0.177922888976108
"7",0.207935583438576,0.13735184749551,0.154530715371125,0.170136972761991,0.1323291776047,0.182436621933504
"8",0.215884420034787,0.0936434430193344,0.164651512073177,0.108895162018933,0.133628744959235,0.165950060834103
"9",0.215197241279525,0.109502656749104,0.136166772938878,0.146900138217975,0.164273170277039,0.164037620538535
"10",0.202699760373513,0.123889685890273,0.153991453562175,0.151242535798112,0.181514297847895,0.146670933055511
"11",0.208329238476408,0.132047302387894,0.164467674511399,0.148935018003691,0.176975227607693,0.200099233478412
"12",0.131453539334661,0.146230462183269,0.136223885199671,0.201747692508872,0.118791298046643,0.206734536532738
"13",0.169912817040742,0.139192166085161,0.147404662082025,0.112738958086914,0.162647109193936,0.186526327168926
"14",0.178114948733852,0.187961843683354,0.179338613858849,0.16262134604881,0.171959053534009,0.212444742293452
"15",0.14561099502365,0.15183274416272,0.177114605735887,0.167873939966629,0.200379143804178,0.181002016733063
"16",0.195287444850177,0.147968465334385,0.139950009132751,0.167141060401593,0.182415376598167,0.212165238747891
"17",0.160412454860974,0.128520662476415,0.138140201066527,0.132208767444255,0.169604754493616,0.156711045582757
"18",0.192266798007097,0.121094288220153,0.136470550931704,0.11644969091087,0.191449917869893,0.176861216090642
"19",0.217432244873819,0.148657575179923,0.123395710438394,0.145039889777058,0.20226243764179,0.169320007556883
"20",0.18269547066367,0.145129717369779,0.135896795195307,0.231178418960341,0.181343717107126,0.188575368147114
"21",0.151303704404324,0.151062306487738,0.164063865004497,0.147872923285123,0.179942682976091,0.194170235445365
"22",0.201695405215496,0.12730362078463,0.159048164963372,0.176983112847812,0.192854267108262,0.214759475097759
"23",0.21150581227024,0.169194805499329,0.152803101152187,0.143099033781645,0.2297204643853,0.235496911047738
"24",0.141499013961828,0.16475396526791,0.197874632204462,0.150123124334683,0.158580606772169,0.179842756578818
"25",0.128761118402174,0.123141533829315,0.119255522411325,0.139755972784046,0.190315752107481,0.245145297853215
"26",0.157012919455218,0.129181927281756,0.149710767347967,0.149862776653688,0.201854507681661,0.20147709698477
"27",0.158581794853466,0.126150518729846,0.161914879969395,0.122386919684755,0.169057964374951,0.181296200360258
"28",0.211865363117938,0.134575508334572,0.131961075743062,0.163050695225718,0.14868235937372,0.19957099551297
