"WMD","2014","2015","2016","2017","2018","2019"
"5",66.1492444444444,47.3549925925926,36.6966222222222,28.7521481481481,24.1914962962963,20.2947259259259
"6",114.558666666667,165.638696296296,146.342281481481,172.435407407407,189.415555555556,237.218755555556
"7",330.272888888889,306.647851851852,246.603940740741,215.125481481481,202.531525925926,203.135348148148
"8",114.316148148148,87.778162962963,74.8713777777778,56.1335703703704,59.096237037037,52.8404740740741
"9",81.4653037037037,65.667437037037,48.1901333333333,37.6471703703704,31.4492444444444,25.6580740740741
"10",80.8,71.5316148148148,53.2526518518519,40.8945185185185,34.8003555555556,24.0099851851852
"11",236.421481481481,230.38557037037,210.330874074074,254.468296296296,236.537303703704,310.648681481482
"12",979.689333333333,1058.02634074074,881.08957037037,860.774607407407,715.643881481481,749.050103703704
"13",858.745274074074,673.343644444444,606.187851851852,554.331081481482,551.979140740741,560.002962962963
"14",211.477807407407,221.675081481481,212.093007407407,190.739585185185,193.041392592593,210.002992592593
"15",2278.30948148148,2659.95887407407,2402.83819259259,2625.34065185185,2616.87525925926,2600.01925925926
"16",2140.72877037037,1738.72373333333,1830.81837037037,1901.61099259259,1941.77312592593,2106.10082962963
"17",3288.04305185185,2644.21994074074,2985.47214814815,2778.58945185185,3076.55505185185,3106.26551111111
"18",490.886222222222,434.376148148148,388.072177777778,421.965392592593,451.905511111111,491.355496296296
"19",171.891437037037,146.219525925926,123.723762962963,104.294044444444,111.694014814815,86.824
"20",1823.21552592593,2221.40954074074,2043.22343703704,2717.64207407407,2566.8984,2840.3752
"21",2190.91866666667,2294.87662222222,2393.65164444444,2360.08456296296,2669.67493333333,2818.00580740741
"22",2418.75081481481,2318.68047407407,2275.99768888889,2429.44005925926,2291.2882962963,2487.80397037037
"23",2316.74951111111,2272.0906962963,2166.73496296296,2404.07288888889,2572.73194074074,2824.8266962963
"24",2129.0501037037,2162.65831111111,1506.17887407407,1104.8565037037,960.627022222222,801.220414814815
"25",3701.10151111111,3098.56568888889,2892.76924444444,2938.23105185185,2797.86352592593,2763.62204444444
"26",1623.15822222222,1476.11454814815,1624.14791111111,1671.78284444444,1809.69656296296,2030.68477037037
"27",471.322933333333,364.784977777778,347.839377777778,320.265451851852,316.631644444444,319.30717037037
"28",227.60322962963,223.38002962963,195.005214814815,211.894814814815,224.770192592593,248.617688888889
