"WMD","2014","2015","2016","2017","2018","2019"
"5",0.382095326326357,0.472505507273777,0.476071495596019,0.466270596890821,0.486536406219903,0.468482901101726
"6",0.520890289429065,0.457781248399428,0.477444331604729,0.509080372506328,0.483806704395039,0.466826746840935
"7",0.433437910581128,0.459133557029672,0.458787878020933,0.466688076069765,0.506916470576072,0.465420788572126
"8",0.402109743284203,0.500331665375376,0.437628567177043,0.521446119839252,0.509632015125442,0.474641853823748
"9",0.400338090537709,0.485038843240596,0.4728080513607,0.479600139492452,0.478704387269052,0.476035634996272
"10",0.413492743033004,0.499652967543772,0.484301714482966,0.496279519302533,0.450113758108009,0.485525169544778
"11",0.424982524959949,0.466973230706304,0.479519787044725,0.480503192543468,0.478781589430608,0.454544075483295
"12",0.51065628670525,0.48539101455961,0.501878736693165,0.448402918170294,0.539595281797143,0.450721003533858
"13",0.449671421159138,0.472854310516138,0.48000293656874,0.52234033236061,0.499261736794152,0.462950985591779
"14",0.475910261776036,0.467245654229027,0.455287820293829,0.475529899731002,0.492942830429969,0.448819099182036
"15",0.507967625387435,0.497711747059994,0.484072135195626,0.493351403862,0.472692867858419,0.465542739013481
"16",0.458161511887392,0.484953660813461,0.505095273600159,0.484980367978882,0.485433072472185,0.447820396094404
"17",0.477661708761353,0.49375461044039,0.478014178679493,0.489145371020222,0.476860389815615,0.480360957255866
"18",0.441340621920295,0.471347341649894,0.485430878450521,0.521766393474837,0.47632749479519,0.468603489944433
"19",0.409341012486172,0.482700505322068,0.496403974544343,0.514065710242702,0.459683980434114,0.473252704783761
"20",0.462497926083074,0.480790299435935,0.513834073719016,0.451422532764934,0.476483323209256,0.461344308071602
"21",0.488163047279198,0.498133905296656,0.480673204848282,0.505395304766298,0.492973641613196,0.458559956238264
"22",0.462613625640721,0.511192622702672,0.503727344930397,0.482963936074088,0.486245820684093,0.447171505106618
"23",0.461297379993022,0.47558815336131,0.49993063869953,0.521886549954611,0.462884522916353,0.43434427253542
"24",0.503888572476319,0.445401859620302,0.418811578691858,0.482473609449113,0.488413706254747,0.465852219970977
"25",0.529506670201701,0.529618875743711,0.540280986795362,0.535982220411527,0.523292266427253,0.428848728202772
"26",0.490487940222166,0.493590227312245,0.486086012370489,0.492007825672365,0.483115589590318,0.454069919910845
"27",0.452258786692646,0.486552574782553,0.476533673061849,0.517771181354032,0.492265757390265,0.465221753790547
"28",0.441465925157351,0.470077026898063,0.489874210568713,0.491112340212,0.508049317817419,0.455399476603196
