"WMD","2014","2015","2016","2017","2018"
"5",0.590842386779235,0.608251702291089,0.64350637394232,0.624790169133654,0.661449776184941
"6",1.60661638031904,1.42035041757409,1.34748801321665,1.43837199557478,1.30135095494878
"7",0.923087342446554,1.04830885921152,0.954652399532052,0.902248318006193,1.01288163649489
"8",0.702158672401601,0.822488427503523,0.746919803533994,0.757060394767171,0.808507295752677
"9",0.54631249111936,0.602870996460282,0.60783237646163,0.578024618429305,0.568004576408891
"10",0.48192298237182,0.485897977184327,0.508701721082241,0.502408316480476,0.511851793878762
"11",1.2684635947727,1.35516595550674,1.22408435602243,1.387911910086,1.22563646612651
"12",0.778806669292021,0.817958470023872,0.779740317747221,0.688246612349322,0.765212260574076
"13",0.858554966751295,0.854813600085747,0.817762800383238,0.898000720762455,0.825568137118593
"14",1.03959253536709,1.04316218561566,1.09449029325546,1.05068549755198,1.00778541660539
"15",1.00027495102813,1.06150937045006,0.948757142104835,0.95516505199269,0.953519657986154
"16",0.939222253720869,1.03680364491246,1.02941476779796,1.00196603325948,0.939354318159712
"17",1.13358027039083,1.23331659401921,1.17164322597248,1.1524665275623,1.07379943553725
"18",1.0861133891475,1.23103675287503,1.10907641080512,1.17837715123413,1.07201695721108
"19",0.66996170617976,0.661387700522658,0.783383744424984,0.696443476044611,0.711980612449442
"20",1.19604373467287,1.27404565319883,1.22514031906091,1.1308294308056,1.20331640391765
"21",1.10664623595691,1.11309839866902,1.08974112490106,1.09904678761045,1.0480203408549
"22",0.824157191298277,0.97033093269555,0.929152617613957,0.927519323577449,0.852290772750248
"23",0.912838602093271,1.07584633537381,1.0440380004277,1.07792865853104,0.949406657215843
"24",0.652610140886076,0.6760609903397,0.574723673538035,0.5811632041348,0.623978231963357
"25",0.606511900791939,0.707215600093462,0.680558238868772,0.650633836092042,0.575135481056079
"26",1.14815611111235,1.24121151349749,1.16303684198597,1.141057619886,1.01800774603422
"27",0.885142978949266,0.871745366761564,0.794997533260223,0.895916929623419,0.837127289218699
"28",1.04857903612824,1.24177325426019,1.17107383826153,1.08796184081043,1.17461298698941
