"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"WMD.HR.J[15,3]",0.127694665164744,0.0149688627200265,0.10014884576532,0.117510373117967,0.127051845309378,0.137329317174128,0.159887786884589,1.26790788636108,17
"WMD.HR.J[16,3]",0.109986601481063,0.0140856340577486,0.0830489466667427,0.100244304564964,0.110165357766039,0.119163375918946,0.138008401211658,1.17436746058932,25
"WMD.HR.J[17,3]",0.179507111887003,0.0168652173079997,0.147042566591166,0.168188050978507,0.178971594808387,0.190578314411323,0.214223500166134,1.13815471102442,28
"WMD.HR.J[18,3]",0.120428974117055,0.0142361104649949,0.0924562638474838,0.110921651570983,0.120670333324728,0.129706781778131,0.14926599744235,1.22033665644771,20
"WMD.HR.J[19,3]",0.0892469223750833,0.0106209924021137,0.0714842880017507,0.0818709815176675,0.088244110823346,0.0959909356100703,0.113527029372358,1.03589384599322,93
"WMD.HR.J[20,3]",0.0868448503026377,0.012464740936702,0.0634016705071732,0.0782989145595556,0.0866204673324319,0.0951906109406405,0.11210750387568,1.24390079058242,18
"WMD.HR.J[21,3]",0.160360987578322,0.0224723424536586,0.124989626599261,0.145035846882924,0.156649473262653,0.171246252131612,0.216055113572524,1.39738674815694,13
"WMD.HR.J[22,3]",0.144452440484867,0.0168593971914513,0.113125242068318,0.13294782060219,0.144211469853801,0.155420572969371,0.178447733328195,1.06289070084299,74
"WMD.HR.J[23,3]",0.122515086331432,0.0138678446069614,0.0972572850863631,0.112931724207629,0.121905129421924,0.131842511325724,0.150923129828757,1.10547733381961,34
"WMD.HR.J[24,3]",0.0772727820913126,0.0114027034603852,0.0583031491047425,0.0694235798880384,0.0760544951816538,0.0833484181366279,0.103691974126338,1.16751598858342,26
"WMD.HR.J[25,3]",0.0690227528488823,0.00976308047755703,0.052053056687321,0.0624124216639875,0.0683579052473203,0.0746958810873279,0.0920217973784506,1.03242986267952,150
"WMD.HR.J[1,4]",0.187210337693655,0.0165700868103631,0.156965987968984,0.175627536080474,0.186626584366502,0.197866049325916,0.222933768959395,1.1114179480595,33
"WMD.HR.J[2,4]",0.201521368961427,0.0210583373206584,0.164229457255852,0.187174410056246,0.199834637504396,0.214917925227289,0.245713507146981,1.32458400896922,14
"WMD.HR.J[3,4]",0.125421317154477,0.0135954238144652,0.101145324020369,0.116075430963268,0.124484173239265,0.134054298852138,0.154760889846401,1.06789842934956,59
"WMD.HR.J[4,4]",0.137347418162997,0.0152535429972522,0.110732954726738,0.12634176506306,0.136113882758456,0.147570949393124,0.168572169369246,1.27979394804189,16
"WMD.HR.J[5,4]",0.205937081793061,0.0181545160022473,0.170439868819844,0.193434370696285,0.206106111699479,0.218068772671824,0.240606336813818,1.13876338102003,27
"WMD.HR.J[6,4]",0.179139366402558,0.0165401850515201,0.148479632629713,0.167454904064452,0.178177361639057,0.190440517109561,0.213899688637372,1.08073406133084,42
"WMD.HR.J[7,4]",0.194779259640359,0.0156133498827676,0.165314899645492,0.184090979771021,0.194220969026127,0.204800202404062,0.226974913586828,1.02983696513904,120
"WMD.HR.J[8,4]",0.1326839589513,0.0148901763794976,0.108433916495029,0.121978748900508,0.131416069962289,0.141477876105572,0.16614811527871,1.1172203133962,33
"WMD.HR.J[9,4]",0.0872194685582013,0.0113539378353815,0.0686986629585752,0.0795923586800371,0.085431393959619,0.0935337462070815,0.114264026392855,1.03486119636634,180
"WMD.HR.J[10,4]",0.130270859722064,0.011374667736886,0.108364686821332,0.122646907003576,0.130308989044145,0.137698015145066,0.153475920347028,1.0647249573233,57
"WMD.HR.J[11,4]",0.119556327428368,0.017878392489456,0.087513104048243,0.106271012189523,0.118393033554494,0.132091718192026,0.155361547858598,1.42172834687507,12
"WMD.HR.J[12,4]",0.138621726513048,0.0177446591550348,0.104711640382028,0.12635070419389,0.137977069318022,0.15026838129929,0.174289010153356,1.21921145585954,20
"WMD.HR.J[13,4]",0.152520898908579,0.0217702948362035,0.11298414146086,0.135707627104812,0.151686453882133,0.16889650897215,0.194083054077509,1.72957977325474,9
"WMD.HR.J[14,4]",0.153097223017819,0.0145567635104792,0.127441396658334,0.142274867841688,0.152107276978467,0.163001776979079,0.183433168539126,1.13721081280314,27
"WMD.HR.J[15,4]",0.155031012705451,0.0168076758494759,0.124338706991026,0.143143772134091,0.153688231708475,0.166204410747633,0.189990998756582,1.35811709892212,13
"WMD.HR.J[16,4]",0.134002088119262,0.0152777395350921,0.103988993291601,0.123615715126452,0.133701163681536,0.144314579559104,0.163865762517026,1.21199041593577,22
"WMD.HR.J[17,4]",0.2162000457155,0.0181948494687976,0.1819266935828,0.203369925854746,0.216244077778843,0.228427960763711,0.251364916617641,1.15160347625885,25
"WMD.HR.J[18,4]",0.14636896934387,0.0156704130879318,0.11648686166466,0.135281960708268,0.146003503534787,0.157210741672617,0.177098698850551,1.31308633943425,15
"WMD.HR.J[19,4]",0.109007579584929,0.0113365410346918,0.0888074182210383,0.10132903693952,0.107739069584724,0.115440667223562,0.135225979581472,1.02620945943673,150
"WMD.HR.J[20,4]",0.106118953286991,0.0136423142848782,0.0785913353777861,0.096920090781837,0.105860941724662,0.115142662997111,0.132928688870016,1.23664653266324,19
"WMD.HR.J[21,4]",0.192653253987756,0.0238515141123456,0.154517236345806,0.175730900395177,0.189018683760675,0.206706302985279,0.247573730529062,1.36065437050999,14
"WMD.HR.J[22,4]",0.174725306910976,0.0170055391326675,0.143326880875096,0.162890094865818,0.174274782865988,0.186065014871782,0.208419312244312,1.05171665583005,75
"WMD.HR.J[23,4]",0.148881815697308,0.0153492419719213,0.119035694455962,0.138543988117892,0.148647339914375,0.158943618875967,0.180269035391474,1.1915299377822,22
"WMD.HR.J[24,4]",0.0944194979587144,0.0122075381880762,0.0728942855690307,0.0859439119703324,0.0935130383511341,0.102112977918794,0.120646398854129,1.20407216010064,22
"WMD.HR.J[25,4]",0.084555833777724,0.0106053552409117,0.0656357183666822,0.0770127965116258,0.0841454345057159,0.0911395687419419,0.107892914464259,1.06261412332663,58
"WSR_M_A_S2W[1]",0.990308947273301,0.00297404085331717,0.98397459406711,0.988409859472125,0.990449785080317,0.992414520945573,0.99559794434138,1.02761235099963,240
