"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"N.J[10,11]",742.849386666667,85.749084031266,596,681,736,795,931,1.17816900297172,22
"N.J[11,11]",1650.28906666667,175.760247092465,1328,1525,1644,1770,2003,1.12429579651759,30
"N.J[12,11]",291.473386666667,46.8983019572633,210,259,288,321,394,1.09595666049897,37
"N.J[13,11]",272.190186666667,42.7375998697365,196,242,270,300,362,1.04772022181374,69
"N.J[14,11]",789.1344,86.2535835540304,634,729.49982864974,784,845,968,1.17207291356844,23
"N.J[15,11]",211.74144,36.3880527513348,147,187,209,234,289,1.07149234205178,48
"N.J[16,11]",2062.92277333333,236.269505182416,1639,1903,2045,2201,2599,1.20238870510318,21
"N.J[17,11]",1118.52938666667,153.572726827441,855,1012,1103,1209,1470.64992264273,1.15984699080623,25
"N.J[18,11]",680.60448,78.3742896217809,541,625,676,730,848,1.0642142994881,53
"N.J[19,11]",791.375466666667,83.6438013756537,634,733,790,847,960,1.16259467231025,24
"N.J[20,11]",500.98752,56.5054110931667,403,462,496,535,624,1.12056089207809,32
"N.J[21,11]",2347.79317333333,257.037380249735,1855,2164,2357,2527,2834.64995986876,1.08496155476204,44
"N.J[22,11]",1292.04469333333,159.031251675052,1002,1175,1293,1400,1614,1.19608532847767,21
"N.J[23,11]",875.295253333333,97.8783489357893,703,806,868,938,1084,1.09505053907729,37
"N.J[24,11]",247.514133333333,38.6161901624708,181,220,245,272,331,1.05736944928345,58
"N.J[25,11]",1228.19189333333,116.946645065944,1016.34988810191,1149,1221,1299,1476,1.18694794213905,22
"N.J[1,12]",289.530666666667,45.559594507982,213.349467337137,257,285,316,394,1.04915616307333,71
"N.J[2,12]",632.23936,80.6186851781049,486,576,629,685,800,1.04499149227505,79
"N.J[3,12]",1851.58538666667,193.762887249187,1480.34992317044,1721,1853,1976,2247,1.06966293243248,51
"N.J[4,12]",444.689493333333,68.8586963843385,328,397,438,487,597,1.19209016136141,21
"N.J[5,12]",128.848,30.4775349486782,78,107,126,147,197,1.01155129968475,300
"N.J[6,12]",1649.60565333333,144.352788894628,1391.34991825662,1546,1641,1742,1952,1.14053729430651,27
"N.J[7,12]",75.12544,20.8712627752,41,60,73,88,122,1.06029731407615,55
"N.J[8,12]",1058.30154666667,111.396587728628,855.34986704458,980,1053,1131,1290,1.16185381802673,24
"N.J[9,12]",558.825813333333,80.0021112327919,422,500,552,613,727,1.22745911735057,18
"N.J[10,12]",854.584533333333,94.4812675428661,690,788,847,912,1057,1.21838329326886,19
"N.J[11,12]",1512.98666666667,168.599485683646,1203,1393.49991029781,1505,1628,1854,1.1319443361292,28
"N.J[12,12]",277.726933333333,45.8370283882712,198,246,274,305,377,1.09355994629245,38
"N.J[13,12]",286.791466666667,44.1964953633635,207,256,284,315,381,1.06032694542663,55
"N.J[14,12]",813.92352,85.8294748829165,661,754,809,869,995.649885730064,1.15557267172243,25
"N.J[15,12]",139.072853333333,29.749331894206,88,118,137,157.499206347207,205,1.06073382258051,55
"N.J[16,12]",2611.50645333333,301.275125834359,2080.0495079662,2412,2579,2781,3308.29986245049,1.20982072421245,20
"N.J[17,12]",983.240533333333,140.150001401442,742,887,969,1063,1301,1.12634444410517,30
"N.J[18,12]",742.19616,80.7624868965287,602,685,737,792,917,1.05431136744229,60
"N.J[19,12]",1106.03989333333,105.117433126773,905,1034,1105,1176,1318.64991372445,1.21043131440444,20
"N.J[20,12]",505.51776,56.9314703694688,408,466.499732047083,501,539,635,1.08235335698984,46
"N.J[21,12]",2483.84917333333,276.01816495943,1953.34994177267,2283,2489,2676,3015.64996227761,1.08838777188692,43
"N.J[22,12]",1357.68202666667,161.960064932605,1058.34989254168,1243,1358,1466,1683,1.19944671454781,20
"N.J[23,12]",955.426666666667,102.771785167284,778,881,947,1021.49987763093,1181,1.10065330771579,35
"N.J[24,12]",316.445973333333,43.4410822616827,239,286,314,344,408,1.07255620770167,48
"N.J[25,12]",1384.61248,126.503336760862,1159,1296,1378,1463,1655,1.20114999085855,21
"N.J[1,13]",242.8096,40.9875286573926,172,214,239,268,333,1.04618110066691,71
"N.J[2,13]",534.993493333333,70.5590968870752,406,486,531,581,683,1.02875847485822,140
"N.J[3,13]",1904.93749333333,204.051013278442,1528,1763,1904,2037,2325,1.06801226974412,53
"N.J[4,13]",417.776853333333,65.5599904734784,306,372,413,458,563,1.18400613307175,22
"N.J[5,13]",118.17344,29.2083551782882,69,98,115,136,184,1.0105214081889,310
"N.J[6,13]",1429.69802666667,128.58761076128,1200,1339.49990668159,1423,1512,1704,1.14342215157172,27
"N.J[7,13]",85.7912533333333,22.7621829058497,47,70,84,100,135,1.05821094211513,57
"N.J[8,13]",1243.89141333333,127.225344958064,1013,1155,1240,1325,1513,1.18610969414386,22
"N.J[9,13]",508.05696,76.5519506632442,373.34969548909,453,504,558,668,1.21098353102268,19
"N.J[10,13]",761.26144,87.4625478142991,612,700,754,814,956,1.17876309363104,22
"N.J[11,13]",1828.74496,199.494007143606,1473,1687,1819,1963,2238.64994918358,1.12436160165156,30
"N.J[12,13]",282.21184,44.7961307604022,205,251,279,309,381,1.08009487285408,44
"N.J[13,13]",337.402773333333,50.1485579780828,248,301.499585406017,335,369,445,1.07099190468235,48
"N.J[14,13]",927.498026666667,98.3086211470714,752,860,919,988,1137,1.2182155092294,19
"N.J[15,13]",191.873386666667,34.3906831244496,132,168,190,213,268,1.06138594846812,55
"N.J[16,13]",2214.67061333333,252.903408594518,1756.34993524238,2047,2194,2362.49994708995,2759.29983507919,1.1930321914739,21
"N.J[17,13]",1356.00778666667,181.940821116893,1047,1230,1339,1457,1789,1.16705173399067,24
"N.J[18,13]",726.416,79.4640608993187,584,671,723,775,895,1.07453217734789,46
"N.J[19,13]",995.434986666667,98.1580543833335,812,925,993,1062,1193.64990468808,1.20506076704418,20
"N.J[20,13]",410.130453333333,53.1662570749177,318,373,406,442,526.649783930049,1.11355149695593,33
"N.J[21,13]",2491.968,270.912276451062,1979.34994253744,2304,2499,2680,3017,1.09074145031483,41
"N.J[22,13]",1239.50346666667,151.917833463736,966,1130,1239,1341,1552,1.18171395735769,22
"N.J[23,13]",818.323413333333,90.9857107083386,659,753,812,875,1014,1.10028738383059,35
"N.J[24,13]",290.663253333333,43.7655880861956,212,260,288,320,381,1.07058646794209,48
"N.J[25,13]",1256.27232,114.333140291697,1053,1178,1249,1327,1503,1.14963629714511,26
"N.J[1,14]",233.943253333333,41.9115161720005,163,204,230,259,330,1.05739546466345,60
"N.J[2,14]",533.197226666667,71.9516722037054,404,483,530,579,684,1.03510567158661,100
"N.J[3,14]",1976.84064,210.029700602252,1583.34992816772,1833,1981,2109,2412,1.07122701270871,48
"N.J[4,14]",488.955626666667,72.4253399268934,365,437,482,535,648,1.22330843477532,19
"N.J[5,14]",131.39776,30.4905378561656,79,110,129,150,198,1.01585890269139,230
"N.J[6,14]",1587.79402666667,141.249664064013,1337,1486,1580,1678,1888,1.15378967196112,25
"N.J[7,14]",75.0987733333333,21.7043936973731,39,60,73,88,124,1.05407199726856,61
"N.J[8,14]",1355.81194666667,136.071729702672,1105,1260,1353,1446,1630,1.15444869173088,25
"N.J[9,14]",500.70112,73.0838114545115,374,448,496,548,656,1.21450715169948,19
"N.J[10,14]",873.22048,99.145192944287,703,802,864,934,1091,1.21416344326725,19
"N.J[11,14]",1820.12096,201.285518390509,1456,1676,1811,1954,2231.64994902418,1.12927722017271,29
"N.J[12,14]",261.371626666667,45.0187989710422,181,231,259,288,359,1.09851980888518,36
"N.J[13,14]",288.9312,46.0781062294578,206,256,286,319,383,1.07707598071597,44
"N.J[14,14]",906.61056,99.2076821319822,731,837,899,970,1118,1.20080809012226,20
"N.J[15,14]",162.76288,31.5931570815612,108,140,161,183,230,1.04683131214075,70
"N.J[16,14]",2712.80117333333,307.426331960323,2152.3499471557,2510,2685,2890,3405.64996659766,1.20623814904231,20
"N.J[17,14]",1504.11168,199.242055391306,1168,1367,1486,1615,1964,1.19455333601606,21
"N.J[18,14]",814.0304,88.8865207026353,660,753,806,869,1006,1.07477338464376,46
"N.J[19,14]",997.690773333333,98.5571904749387,811,929,997,1065,1193,1.21024832300563,20
"N.J[20,14]",459.728213333333,55.4828808073371,363,422,455,493,583,1.11745746655688,33
"N.J[21,14]",2787.97226666667,297.500769029264,2206,2578,2801,3000,3341.64996595789,1.09552946412377,39
"N.J[22,14]",1296.29344,160.837155354801,998.349886084816,1178,1301,1405,1616,1.23079839625793,18
"N.J[23,14]",870.15712,93.3359187199802,703,805,864,931,1066,1.09757220615886,36
"N.J[24,14]",331.114986666667,47.1931986538993,248,298,328,361,432,1.0703530757765,49
"N.J[25,14]",1358.75210666667,124.030144883243,1142,1272,1350,1436,1623,1.18536592762418,22
"N.J[1,15]",296.8768,49.6108869171281,215,262,291,325,411,1.06040677962662,59
