"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"N.A[21,3]",139.29792,12.6076876898995,117,131,139,147,166.899729512557,1.19130839284591,21
"N.A[22,3]",246.52928,20.7076981213576,208,232,246,261,287,1.21786363058833,19
"N.A[23,3]",364.95744,31.3595242784477,312,343,361,386,433,1.20166282833421,22
"N.A[24,3]",788.11744,131.285486513615,570,681,783,891,1030,1.20931739686725,20
"N.A[25,3]",1255.21728,172.786590843484,935.099951904233,1136,1258,1374,1610,1.2632634373782,17
"N.A[1,4]",356.67936,30.3252994973351,307.099853721874,336,352,374,427,1.21312471390425,20
"N.A[2,4]",197.00384,16.1640512790451,168,186,196,207,232.899806340346,1.37325005887264,13
"N.A[3,4]",327.22624,36.7736660161361,265,300,326,350,404,1.23990318321108,19
"N.A[4,4]",292.07872,25.3055504157446,237,277,293,309,340,1.04345347639811,190
"N.A[5,4]",275.78176,21.4442011860326,239,261,275,289,322.899860407326,1.37622670281847,13
"N.A[6,4]",317.44768,27.2143098495808,270,298,316,335,374,1.18026263329992,23
"N.A[7,4]",411.49824,28.212333053791,359,392,410,431,467,1.06972633100691,55
"N.A[8,4]",340.02176,27.7875060604614,288,320,340,359,395,1.15079341583943,26
"N.A[9,4]",1175.66592,167.064440499117,873.099948490972,1051,1169,1308,1478.899969561,1.11578221374323,32
"N.A[10,4]",723.96256,59.4804937401312,608,685,726,764,839,1.08863179584664,44
"N.A[11,4]",94.43648,16.5545758775027,69,82,91,105,131,1.29155003816944,16
"N.A[12,4]",233.0688,26.8604434299734,183,213,234,253,284.899841753491,1.04161983824465,82
"N.A[13,4]",243.81344,20.2134594324651,206,231,243,256,288,1.03837692829758,180
"N.A[14,4]",659.20576,49.4160998776621,566,625,659,693,756,1.0586130204177,79
"N.A[15,4]",334.056,31.2514952267127,281,311,331,353,402,1.25034634336886,18
"N.A[16,4]",281.49376,26.1713007108223,237,262,280,299,338,1.05983691909278,64
"N.A[17,4]",309.27648,19.26067159577,275,296,309,322,350,1.12815972879456,28
"N.A[18,4]",233.38176,22.0559581110099,193,218,233,247,279.89983892125,1.14368493063847,27
"N.A[19,4]",672.79648,83.7197526193357,519,607,675,736,827,1.10623990417475,35
